,Receiver,Description,Country,Year,Grant Size (DKK),Category
131,Læger uden grænser,COVID-19 respons - Flygtningelejre og hospitaler,Libanon,2020,1973,Vand og bæredygtig udvikling
132,Practical Action,"COVID-19 respons - Vand, sanitet og hygiejne",Kenya,2020,2316,Vand og bæredygtig udvikling
133,World Vision,"COVID-19 respons - Vand, sanitet og hygiejne","Niger, Ghana",2020,2312,Vand og bæredygtig udvikling
134,Human Needs Project,COVID-19 respons - Kibera Town Centre,Kenya,2020,635,Vand og bæredygtig udvikling
135,Oxfam,"COVID-19 respons - Vand, sanitet og hygiejne (fase 2)",Nepal,2020,3041,Vand og bæredygtig udvikling
136,Water Mission,Rent vand til Sydøstasien (fase 4),Indonesien,2020,3086,Vand og bæredygtig udvikling
137,Water Mission,Kenya 23 - næste skridt (fase 4),Kenya,2020,3103,Vand og bæredygtig udvikling
138,PlanBørnefonden,Flygtningesamfund i Gambella-regionen (projekt SunWASH),Etiopien,2020,12500,Vand og bæredygtig udvikling
139,NCA Kirkens Nødhjelp,Rent drikkevand til Burundi (fase 3),Burundi,2020,3026,Vand og bæredygtig udvikling
140,NRC Norsk Flygtningehjælp,"Vand, sanitet og hygiejne til Somali-regionen",Etiopien,2020,3036,Vand og bæredygtig udvikling
141,ICRC Den Internationale Røde Kors Komité,COVID-19 respons - COVID-19 Emergency Appeal (fase 2),Global,2020,3058,Vand og bæredygtig udvikling
142,Ufuse Production,‘Into Dust’ Documentary Impact Kampagne,USA,2020,5000,Vand og bæredygtig udvikling
143,PlanBørnefonden,COVID-19 respons - Togo og Etiopien,"Togo, Etiopien",2020,3690,Vand og bæredygtig udvikling
144,"Aalborg Universitet - Elektroniske
Systemer",Smart Water Infrastructure (SWIft),Danmark,2020,6923,Forskning og læring
145,"Københavns Universitet -
Niels Bohr Instituttet",Julekalender 2021: Kometernes Jul,Danmark,2020,7500,Forskning og læring
146,"DTU Aqua, SDU Biologi, AU Bioscience",Bæredygtig Sørestaurering 2020,Danmark,2020,6123,Forskning og læring
147,Via University College Horsens,IWA World Water Camp,Danmark,2020,190,Forskning og læring
148,Aalborg Universitet - Materialer og Produktion,Laserformgivning,Danmark,2020,4320,Forskning og læring
149,"Sustanias Fond/Mandag morgen
fonden",Sustania World,Danmark,2020,500,Forskning og læring
150,"Aalborg Universitet -  Medicin
og Sundhedsteknologi",COVID-19 respons - Nødrespiratorer,Danmark,2020,1800,Forskning og læring
151,"Aalborg Universitet - Kemi
og Bioscience",COVID-19 respons - Corona Danica,Danmark,2020,4252,Forskning og læring
152,Region Midtjylland - Præhospitalet,COVID-19 respons - Præhospitaltest,Danmark,2020,228,Forskning og læring
153,Rigshospitalet - CPH Trial Unit,COVID-19 respons - Living Systematic Review,Danmark,2020,2915,Forskning og læring
