,Year,Reciever,Grant size (DKK),Description,Institution,Grant Number,Project Category
1598,"År
2020",Kirsten Seestern Christoffersen,"Beløb
DKK 947,356",Tilbage til fremtiden for søer og elve i Erik den Rødes land,"Institution
University of Copenhagen",1599,Research Infrastructure
1599,"År
2020",Torben M. Andersen,"Beløb
DKK 670,823",Frontiers in Register-Based Research in Economics,"Institution
Aarhus University",1600,Research Infrastructure
1600,"År
2020",Albin Sandelin,"Beløb
DKK 1,400,000",Computer storage for state-of-the- art bioinformatics and high-throughput biology,"Institution
University of Copenhagen",1601,Research Infrastructure
1601,"År
2020",Martin Bremholm,"Beløb
DKK 800,000",Optical Floating Zone System for Single Crystal Growth,"Institution
Aarhus University",1602,Research Infrastructure
1602,"År
2020",Kim Rewitz,"Beløb
DKK 1,400,000",Zeiss LSM 900 Confocal Microscope,"Institution
University of Copenhagen",1603,Research Infrastructure
1603,"År
2020",Claus Juul Løland,"Beløb
DKK 162,000",Development of a medical treatment for cocaine addiction - elucidation of the molecular mechanisms behind the drug,"Institution
University of Copenhagen",1604,Research Infrastructure
1604,"År
2020",Det Danske Sprog- og Litteraturselskab,"Beløb
DKK 1,300,000",Digital udgivelse af Den Danske Begrebsordbog målrettet forskningsanvendelse,"Institution
Det Danske Sprog- og Litteraturselskab",1605,Research Infrastructure
1605,"År
2020",Nikolaj Thomas Zinner,"Beløb
DKK 470,988",QHQC - Quantum Hardware for Quantum Chemistry,"Institution
Aarhus University",1606,Research Infrastructure
1606,"År
2020",Sine Hadrup,"Beløb
DKK 270,000",Viaflo Assist PLUS,"Institution
Technical University of Denmark",1607,Research Infrastructure
1607,"År
2020",Polymeros Chrysochou,"Beløb
DKK 1,130,377",Consumer Panel Data,"Institution
Aarhus University",1608,Research Infrastructure
1608,"År
2020",Michael Kühl,"Beløb
DKK 244,368",Advanced programmable light source for photobiological studies,"Institution
University of Copenhagen",1609,Research Infrastructure
1609,"År
2020",Peter Ebert Andersen,"Beløb
DKK 350,000",A framework for in vitro investigation of germline stem cell biology,"Institution
Aarhus University",1610,Research Infrastructure
1610,"År
2020",Johan Fischer,"Beløb
DKK 160,206",Vegetarianism in a Global Perspective,"Institution
Roskilde University",1611,Research Infrastructure
1611,"År
2020",Riikka Rinnan,"Beløb
DKK 1,650,000","Assessing climate change impacts on key ecosystem functions in climate chambers, ClimBer","Institution
University of Copenhagen",1612,Research Infrastructure
1612,"År
2020",Athena Trakadas,"Beløb
DKK 44,550",The Small World of Kotor Bay: An archaeological and topographical study,"Institution
University of Copenhagen",1613,Research Infrastructure
1613,"År
2020",Tenna Riis,"Beløb
DKK 450,000",Permafrost thawing in high-Arctic causing increased organic carbon and dissolved nitrogen export to sea,"Institution
Aarhus University",1614,Research Infrastructure
1614,"År
2020",Martin Gustavsson,"Beløb
DKK 400,000",Uncovering the structural basis for RAMP regulation of G protein-coupled receptors,"Institution
University of Copenhagen",1615,Research Infrastructure
1615,"År
2020",Susanne Mossin,"Beløb
DKK 250,000",Mass spectrometer for operando spectroscopy,"Institution
Technical University of Denmark",1616,Research Infrastructure
1616,"År
2020",Anders Olsen,"Beløb
DKK 450,000","Dynein: one motor, many cargos and multiple cellular functions","Institution
Aalborg University",1617,Research Infrastructure
1617,"År
2020",Mads Melbye,"Beløb
DKK 1,675,500",Mapping the genetic variations behind exercise intolerance and serious muscle damage,"Institution
Statens Serum Institut",1618,Research Infrastructure
1618,"År
2020",Nanna MacAulay,"Beløb
DKK 320,000",The search for molecular pathways underlying brain water dys-regulation,"Institution
University of Copenhagen",1619,Research Infrastructure
1619,"År
2020",Hans Basbøll,"Beløb
DKK 39,250",Vekselvirkningen mellem dansk og international lingvistik,"Institution
University of Southern Denmark",1620,Research Infrastructure
