;Year;Reciever;Grant size (DKK);Description;Region;Project Category;Project Subcategory
86;2023;Hirtshals Tennisklub;"Støttet med
50.000 kr.";Inspirationscenter for udendørs sport-ketsjersport;Region Nordjylland;LIV I DET LOKALE;Byggeri
87;2023;Psykologi Revy SDU;"Støttet med
10.000 kr.";Psykologi Revy 2023;Region Syddanmark;LIV I DET LOKALE;Arrangementer
88;2023;Dansk Amatørorkester Samvirke;"Støttet med
40.000 kr.";Jubilæumskoncert med Mahlers 2. symfoni;Region Syddanmark;LIV I DET LOKALE;Arrangementer
89;2023;Viborg kommune;"Støttet med
35.000 kr.";Seniorfolkemøde 2023;Region Midtjylland;LIV I DET LOKALE;Arrangementer
90;2023;Øens Venner;"Støttet med
25.000 kr.";Nye installationer til Øens Venners lokaler;Region Hovedstaden;LIV I DET LOKALE;Renovering og istandsættelse
91;2023;MTB Horsens;"Støttet med
30.000 kr.";Madpakkehus og muldtoilet ved Bygholm Sø;Region Midtjylland;LIV I DET LOKALE;Byggeri
92;2023;Ådalscenen;"Støttet med
35.000 kr.";Familie- og Aktivitetsdag i Gislev;Region Syddanmark;LIV I DET LOKALE;Aktiviteter
93;2023;Børnekorforeningen;"Støttet med
25.000 kr.";Børnekorstævne 2023 i Roskilde;Region Sjælland;LIV I DET LOKALE;Mindre faciliteter
94;2023;AL2Bolig;"Støttet med
20.000 kr.";Ud af boligen, ind i fællesskabet;Region Midtjylland;LIV I DET LOKALE;Aktiviteter
95;2023;Musicaliber Aalborg;"Støttet med
8.000 kr.";Rock of Ages;Region Nordjylland;LIV I DET LOKALE;Arrangementer
96;2023;Ry Rideklub;"Støttet med
40.000 kr.";Renovering af belysning, port og foldfaciliteter;Region Midtjylland;LIV I DET LOKALE;Renovering og istandsættelse
97;2023;Kibæk Idrætsforening;"Støttet med
6.975 kr.";Støtte til indkøb af Højskolesangbogen 50 stk.;Region Midtjylland;LIV I DET LOKALE;Aktiviteter
98;2023;Ryttergården Ravnkilde;"Støttet med
10.000 kr.";Fokus på de sociale udsatte;Region Nordjylland;LIV I DET LOKALE;Aktiviteter
99;2023;Vedsted Ungdomsforening af 1924;"Støttet med
12.500 kr.";Anskaffelse af gymnastikredskab;Region Syddanmark;LIV I DET LOKALE;Grej og udstyr
100;2023;Musikforeningen Vesterbro;"Støttet med
17.000 kr.";Streamingkoncerter fra København til hele landet;Region Hovedstaden;LIV I DET LOKALE;Grej og udstyr
101;2023;DDS, Sdr. Omme Gruppe;"Støttet med
7.500 kr.";Indkøb af nye telte;Region Syddanmark;LIV I DET LOKALE;Grej og udstyr
102;2023;Elysion;"Støttet med
35.000 kr.";Kreative unge i et tæt fællesskab;Region Midtjylland;LIV I DET LOKALE;Grej og udstyr
103;2023;Danske Røde Kors Aarhus Afdeling;"Støttet med
12.000 kr.";Frivillige skaber tryghed på DK's største hospital;Region Midtjylland;LIV I DET LOKALE;Aktiviteter
104;2023;Thisted Sejlklub v/J Pedersen;"Støttet med
13.000 kr.";Vild på vandet;Region Nordjylland;LIV I DET LOKALE;Arrangementer
105;2023;ED Danmark;"Støttet med
25.000 kr.";ED Danmark sociale arrangementer;Region Sjælland;LIV I DET LOKALE;Arrangementer
106;2023;Allerød Kommune;"Støttet med
8.000 kr.";"Teaterkoncerten ""Dansen""";Region Hovedstaden;LIV I DET LOKALE;Grej og udstyr
107;2023;Alboa - Almen boligorganisation Aarhus;"Støttet med
20.000 kr.";Gør-Det-Sammen værkstedet;Region Midtjylland;LIV I DET LOKALE;Grej og udstyr
108;2023;Hjerneskadeforeningen;"Støttet med
60.000 kr.";Festival med handicap for alle;Region Sjælland;LIV I DET LOKALE;Arrangementer
109;2023;Videbæk-Herborg Pensionistforening;"Støttet med
5.500 kr.";Foredrag med forskellige foredragsholdere i 2023;Region Midtjylland;LIV I DET LOKALE;Honorar og løn
110;2023;Live Art Danmark;"Støttet med
30.000 kr.";Live Art for Børn 2023;Region Hovedstaden;LIV I DET LOKALE;Aktiviteter
111;2023;Afrika Forum;"Støttet med
12.000 kr.";Couleur Café;Region Hovedstaden;LIV I DET LOKALE;Aktiviteter
112;2023;Det Gamle Gasværk, Kultur- og Forsamlingshus;"Støttet med
15.000 kr.";Udskiftning af gammelt scenelys til LED belysning;Region Midtjylland;LIV I DET LOKALE;Grej og udstyr
113;2023;Paint It Forward;"Støttet med
15.700 kr.";Kassecykel til transport af genbrugsmaling;Region Hovedstaden;LIV I DET LOKALE;Grej og udstyr
114;2023;Randers Cykleklub af 1910;"Støttet med
35.000 kr.";Hometrainere i Randers Cykleklub af 1910;Region Midtjylland;LIV I DET LOKALE;Materialer
115;2023;Danmark Dejligst Karrebæksminde;"Støttet med
30.000 kr.";Danmark Dejligst Karrebæksminde;Region Sjælland;LIV I DET LOKALE;Arrangementer
116;2023;SMUK teater;"Støttet med
5.000 kr.";Skatteøen musical forestilling;Region Midtjylland;LIV I DET LOKALE;Grej og udstyr
117;2023;Hørning Borgerforening;"Støttet med
35.000 kr.";Samlingsplads for børnefamilier i Hørning;Region Midtjylland;LIV I DET LOKALE;Grej og udstyr
118;2023;Fonden Aarøsund Medborgerhus;"Støttet med
20.000 kr.";Aarøsund Medborgerhus Solcelleanlæg 10KwH;Region Syddanmark;LIV I DET LOKALE;Renovering og istandsættelse
119;2023;Selvhjælp Silkeborg;"Støttet med
17.000 kr.";Opgradering af Selvhjælp Silkeborgs børnegrupper;Region Midtjylland;LIV I DET LOKALE;Aktiviteter
120;2023;Statskundskabsrevyen;"Støttet med
40.000 kr.";Statskundskabsrevyen 2023;Region Hovedstaden;LIV I DET LOKALE;Aktiviteter
121;2023;Roundnet Århus;"Støttet med
7.500 kr.";Uddannelse af Roundnet-trænere;Region Midtjylland;LIV I DET LOKALE;Arrangementer
122;2023;Brønderslev kommune;"Støttet med
15.000 kr.";Opførsel af Bålhytte i Brønderslev;Region Nordjylland;LIV I DET LOKALE;Byggeri
