,Title,Grant size (DKK),Receiver,Project_category,Project_subcategory
682,Blå Klasseværelser (2021),1700000,Nationalpark Skjoldungernes Land,Kultur og samfund,Dagslys og frisk luft
683,Tværfagligt udemiljø (2021),2800000,Skovvangskolen,Kultur og samfund,Dagslys og frisk luft
684,Udeliv - med plads til forskelle (2021),3100000,Muskelsvindfonden,Kultur og samfund,Dagslys og frisk luft
685,Hjernevenligt lys og luft (2021),248000,TrineNygaard,Kultur og samfund,Dagslys og frisk luft
686,"Naturlivvis - lev i, af og med naturen (2021)",200000,Lavringe Jord,Kultur og samfund,Dagslys og frisk luft
687,Trætoppen (2021),2000000,Silkeborg Højskole,Kultur og samfund,Dagslys og frisk luft
688,"Det vi kan inde, kan vi også udendørs (2021)",100000,Motion i Dagtimerne,Kultur og samfund,Dagslys og frisk luft
689,Pioneer Centre - Land-CRAFT Center for Landscape Research in Sustainable Agricultural Futures (2021),41000000,Aarhus Universitet,Teknisk og naturvidenskabelig forskning,Teknisk og naturvidenskabelig forskning
690,Villum Kann Rasmusssens Årslegat 2022 - personlig andel (2021),500000,Individuals,Teknisk og naturvidenskabelig forskning,Villum Kann Rasmussens Årslegat
691,Villum Kann Rasmusssens Årslegat 2022 - institutionens andel (2021),4500000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Villum Kann Rasmussens Årslegat
692,"Dagslys og frisk luft til foreninger, skoler og dagtilbud (2021)",185373,Naturcenter Amager Strand,Kultur og samfund,Dagslys og frisk luft
693,Flere udendørs aktiviteter til børn og unge (2021),487712,DGI,Kultur og samfund,Dagslys og frisk luft
694,Nanolaser based on extremely confined nonradiative state (EXTREME) (2021),6000000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Villum Young Investigator
695,Nyløkke (2021),1800000,Silkeborg Kommune,Kultur og samfund,Dagslys og frisk luft
696,Udendørs Arbejdsrum og Trappetårn (2021),3900000,Frederiksborg Gymnasium og HF,Kultur og samfund,Dagslys og frisk luft
697,Motivation gennem teknologiforståelse (2021),6700000,Københavns Kommune,"Børn, unge og science",Teknologi og praktisk faglighed
698,Rum til udeliv ved Skibet Makerspace (2021),211500,Foreningen Skibet Makerspace,Kultur og samfund,Dagslys og frisk luft
699,Søtoftens bæredygtige samlingshus - Lys og fællesskab for alle i landsbyen (2021),360000,Foreningen Aktiv Staby,Kultur og samfund,Dagslys og frisk luft
700,"Genomic insights into evolutionary novelties in seahorses, pipefishes and seadragons (2021)",6000000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Young Investigator
701,MiniMakerLab (2021),6200000,Skive Kommune,"Børn, unge og science",Teknologi og praktisk faglighed
702,Uderum på Spladsen (2021),517545,Herlufsholm Skole og Gods,Kultur og samfund,Dagslys og frisk luft
703,Projekt U (2021),100000,Ry Højskole,Kultur og samfund,Dagslys og frisk luft
704,Familiepakkebidrag (2021),1000000,Mobilitetsfonden,Teknisk og naturvidenskabelig forskning,Teknisk og naturvidenskabelig forskning
705,Dynamic Disturbance Substructuring (2021),2200000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Villum International Postdoc
706,Biodiversity hotspots in tropical forests in West Africa: a DNA-based framework to aid vertebrate conservation efforts (2021),2500000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum International Postdoc
707,Antenna design and integration on glass surfaces for the next generations of mobile communication (5G/6G) (2021),2400000,Aalborg Universitet,Teknisk og naturvidenskabelig forskning,Villum International Postdoc
708,Tailoring Shape-Controlled Multimetallic Nanoparticles for Conversion of Sustainable Energy (2021),2500000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Villum International Postdoc
709,A biologging approach to studying wild animals in the Anthropocene (2021),2500000,Aarhus Universitet,Teknisk og naturvidenskabelig forskning,Villum International Postdoc
710,Udskiftning af køkkenvinduer på Egmont Kollegiet (2021),2700000,Egmont H. Petersen's Kollegium,Kultur og samfund,Andre projekter
711,Looking into the molecular structure of a sustainable future - New tools for better insights into complex materials (2021),2500000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum International Postdoc
712,Ud med musikken (2021),149000,Ears Wide Open,Kultur og samfund,Dagslys og frisk luft
713,Inorganic Phosphosulfides for Optoelectronics (2021),6000000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Villum Young Investigator
714,Pathways to Renewing VET (PR-VET) (2021),18000000,Edunet Alapítvány,Unge og uddannelse i Europa,Unge og uddannelse i Europa
715,Kortlægning af danske folkeskolers adgang til makerspaces - tillæg (2021),272313,VIA University College,"Børn, unge og science",Evaluering og analyse
716,OceANIC – aerOsol AgeiNg and Interactions with radiation and Clouds (2021),6000000,Aarhus Universitet,Teknisk og naturvidenskabelig forskning,Villum Young Investigator
717,New invariants in low-dimensional topology via quantum field theory (2021),6000000,Syddansk Universitet,Teknisk og naturvidenskabelig forskning,Villum Young Investigator
718,Den grønne ø - grøn dannelse og udelæring (2021),200000,Åvangsskolen,Kultur og samfund,Dagslys og frisk luft
719,400 års københavner- og bygningsmalerhistorie på én gavl (2021),1300000,Københavns Malerlaug,Kultur og samfund,Andre projekter
720,SciencePirater (Tillægsbevilling) (2021),475000,Spejderne,"Børn, unge og science",Science i Fritiden
721,Familiepakkebidrag (2021),2500000,Mobilitetsfonden,Teknisk og naturvidenskabelig forskning,Teknisk og naturvidenskabelig forskning
722,Familiepakkebidrag (2021),1000000,Mobilitetsfonden,Teknisk og naturvidenskabelig forskning,Teknisk og naturvidenskabelig forskning
723,"A development project to propel the Brooking into a world-leading modern museum, education provider and collaborator (2021)",20000000,Brooking Museum of Architectural Detail,Kultur og samfund,Andre projekter
724,Det skinnende sværd - Tillægsbevilling (2021),50000,Norse Theme Parks ApS,Kultur og samfund,Dagslys og frisk luft
725,Familiepakkebidrag (2021),1000000,Mobilitetsfonden,Teknisk og naturvidenskabelig forskning,Teknisk og naturvidenskabelig forskning
726,Udvidelse af evaluering af Science i fritiden (2021),967688,Rambøll Management Consulting,"Børn, unge og science",Evaluering og analyse
727,Microwaved Ferroelectric-Chemical Antenna for P2X - MANTRA (2021),2000000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
728,Tillægsbevilling til evalueringsdesign makerspaces i folkeskolen (projekt 38182) (2021),1000000,VIA University College,"Børn, unge og science",Evaluering og analyse
729,Kønsbevidst pædagogik og didaktik i læreruddannelsens naturfag (2021),2000000,Københavns Professionshøjskole,"Børn, unge og science",Evaluering og analyse
730,Kønsbevidst pædagogik inden for undervisning i digital dannelse og teknologiforståelse (2021),1800000,Professionshøjskolen UCN,"Børn, unge og science",Teknologi og praktisk faglighed
731,Workshops makerspaces 2022 (2021),489180,Aarhus Universitet,"Børn, unge og science",Teknologi og praktisk faglighed
732,100 potentialer (2021),1600000,GRØN - fonden for bæredygtig udvikling,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
733,Familiepakkebidrag (2021),1000000,Mobilitetsfonden,Teknisk og naturvidenskabelig forskning,Teknisk og naturvidenskabelig forskning
734,Familiepakkebidrag (2021),1000000,Mobilitetsfonden,Teknisk og naturvidenskabelig forskning,Teknisk og naturvidenskabelig forskning
735,Familiepakkebidrag (2021),1000000,Mobilitetsfonden,Teknisk og naturvidenskabelig forskning,Teknisk og naturvidenskabelig forskning
736,Videnskabsår22 (2021),1700000,Videnskabsår22,"Børn, unge og science",Science i Fritiden
737,FabLab-KlimaLab (2021),2200000,Silkeborg Kommunepartnerskab FabLab@SCHOOLdk,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
738,Kønsstereotyper og -bias i lærerstuderendes vurderinger af elever: Et eksperimentelt mixed methods studie (2021),571808,Aarhus Universitet,"Børn, unge og science",Diversitet i didaktik og uddannelse
739,Evaluering af 'Kometernes Jul' (2021),1300000,VIVE - Det Nationale Forsknings- og Analysecenter for Velfærd,"Børn, unge og science",Evaluering og analyse
740,Kompetenceudvikling af engineering-lærere i kønsbevidst naturfagsundervisning (2021),2300000,Engineer the Future,"Børn, unge og science",Diversitet i didaktik og uddannelse
741,Kønsopmærksomhed i folkeskolen (2021),2400000,Danmarks Lærerforening,"Børn, unge og science",Diversitet i didaktik og uddannelse
742,Engineering-baseret klimaundervisning i grundskolen (2021),3600000,Engineer the Future,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
743,Masseeksperiment 2022-24 (2021),3000000,Astra,"Børn, unge og science",Teknologi og praktisk faglighed
744,Børnene tilbage i fællesskabet (2021),2300000,Spejderne,"Børn, unge og science",Science i Fritiden
745,Bygningskomponentprisen 2021 (2021),60000,Gamle Mursten ApS,Villum Fonden,Villum Fonden
746,Microbial consortium-based conversion of CO2 to biochemicals (2021),2000000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
747,Repurposing antibiotic resistance to capture new-to-Nature chemistries in a bacterial host (2021),2000000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
748,Advanced Metal-Organic Framework-Nanofiber architectures for conversion of CO2 into hydrocarbons by solar light (2021),1900000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
749,Exploring plant evolution through conformational cell wall glycomics (2021),2000000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
750,Oxygen-free biosynthesis in microbial cell factories (2021),2000000,Aarhus Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
751,Photoacoustic detection of microplastics (2021),2000000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
752,Nanodisc production in living cells facilitates structural studies of membrane proteins (2021),2000000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
753,Novel bio-inspired material: programmed functionalization of peptoid nanosheets (2021),2000000,Roskilde Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
754,Are Topological Insulators Active in Electrocatalytic Reactions? (2021),2000000,Aarhus Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
755,The Baltic Amber Enigma (2021),1900000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
756,Cleaning waste with waste: using bio-based industrial sidestreams to remove micro- and nanoplastic from water bodies (2021),1900000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
757,Communicating trust in the security of election technologies (2021),2000000,IT-Universitetet i København,Teknisk og naturvidenskabelig forskning,Villum Experiment
758,4D Printing with Proteins: Pumped Multienzyme Reactors (2021),1900000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
759,Communication across the kingdoms of life: can bacterial RNA viruses affect gene expression in eukaryotic cells? (2021),1900000,Aarhus Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
760,Drawing a line in the sand: Mapping sand mining in Africa for future sustainable usage (2021),1500000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
761,Ecological Folk High School and green professions in agroecology (2021),16000000,The Ecological Folk High School (EFHS),Unge og uddannelse i Europa,Unge og uddannelse i Europa
762,Genomic archaeology: Inferring human cultural practices over the past 40.000 years from whole genomes (2021),2000000,Aarhus Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
763,STEAM education in every school (2021),8600000,Fundacja Szkolna,Unge og uddannelse i Europa,Unge og uddannelse i Europa
764,Edge AI for High Stability-Robustness of Power Electronics in Modern Power Systems (2021),3000000,Aalborg Universitet,Teknisk og naturvidenskabelig forskning,Villum Synergy
765,Stochastic Morphometry: Evolutionary Modelling of Whole Shape Data (2021),12000000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Synergy
766,Integration of protein dynamics in Deep Generative models for accelerating protein design (Deep design) (2021),3000000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Synergy
767,Algorithmic Ways of Seeing: Improving Image Recognition by Training on Art Images (2021),3000000,IT-Universitetet i København,Teknisk og naturvidenskabelig forskning,Villum Synergy
768,Explainable AI for Complex Microbial Community Interactions and Predictions (2021),3000000,Aalborg Universitet,Teknisk og naturvidenskabelig forskning,Villum Synergy
769,Decomposing high-dimensional data objects for chemistry (2021),3000000,Aarhus Universitet,Teknisk og naturvidenskabelig forskning,Villum Synergy
770,New cyclic carbon allotropes (2021),2000000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
771,From laws to limits: Thermodynamic constraints on quantum correlations (2021),1800000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
772,Calcium based CO2 capture by pressure swing combined with heat storage materials (2021),2000000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
773,Observing the Unknown Winter Freshwater in Greenland Fjords (2021),1400000,GEUS - De Nationale Geologiske Undersøgelser for Danmark og Grønland,Teknisk og naturvidenskabelig forskning,Villum Experiment
774,A novel microbial pathway towards simultaneous mitigation of N2O and CH4 in wetlands (2021),2000000,Aarhus Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
775,Øjeblikkelig dataundersøgelse i kondenseret materiefysik (2021),3000000,Aarhus Universitet,Teknisk og naturvidenskabelig forskning,Villum Synergy
776,Machine learning-enabled fiber-optic communication (MARBLE) (2021),3000000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Villum Synergy
777,Safeguarding Diversity in News Recommendation (2021),3000000,Roskilde Universitet,Teknisk og naturvidenskabelig forskning,Villum Synergy
778,Understanding the Effects of NLP-Based Trading Algorithms (2021),2900000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Synergy
779,Small Molecule DNA Rotaxanes (2021),2000000,Aarhus Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
780,Central Academy of Roofers (2021),10000000,Fundacja Serapian,Unge og uddannelse i Europa,Unge og uddannelse i Europa
781,Spin-Outs Denmark (2021),75000000,Syddansk Universitet,Teknisk og naturvidenskabelig forskning,Teknisk og naturvidenskabelig forskning
782,Restaurering af Dronningens Gemakker og Balkonfoyeren på Gamle Scene (2021),4000000,Det Kongelige Teater,Kultur og samfund,Andre projekter
783,Genstart af ungdommen - tillæg (2021),1400000,Ungdomsskoleforeningen,"Børn, unge og science",Science i Fritiden
784,"VKR Professor på NBI, Københavns Universitet (2021)",20000000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Kann Rasmussen Professorat
785,Developing a Chemically Self Sustaining Martian Society (2020),1900000,Aarhus Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
786,Insane in the membrane; how to avoid crowding of the Escherichia coli inner membrane? (2020),2000000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
787,The cellular ultrastructure of Asgard archaea - the ancestors of the eukaryotic cell (2020),2000000,Aarhus Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
788,Polymer recycling via monomer reuse (2020),2000000,Aarhus Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
789,Villum Centre of Excellence for the Mathematics of Quantum Theory (QMATH) - Extension (2020),30000000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Teknisk og naturvidenskabelig forskning
790,“The Green Center” - environment-friendly architecture for children (2020),1500000,Empowering Children Foundation,Unge og uddannelse i Europa,Unge og uddannelse i Europa
791,Engineering biological memory in bacteria (2020),2000000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
792,A Novel Voltage-sensing Nano-device based on Flexoelectric Coupling in Lipid Membranes (2020),2000000,Syddansk Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
793,Challenging the Current Paradigm for Planet Formation (2020),2000000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
794,Mycoviruses: a hitherto unknown member of the soil food web (2020),2000000,Aarhus Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
795,"Methane, a sign of life - what drives its dynamics on Mars? (2020)",2000000,Aarhus Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
796,Familiepakkebidrag (2020),1000000,Mobilitetsfonden,Teknisk og naturvidenskabelig forskning,Teknisk og naturvidenskabelig forskning
797,Familiepakkebidrag (2020),1000000,Mobilitetsfonden,Teknisk og naturvidenskabelig forskning,Teknisk og naturvidenskabelig forskning
798,Towards a Thinking X-ray Microscope: Deep Learning to Predict Fluorescence Labels of Cellular Organelles in SXT (2020),1900000,Syddansk Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
799,Praktikernetværk om teknologiforståelse (2020),8900000,Professionshøjskolen Absalon,"Børn, unge og science",Teknologi og praktisk faglighed
800,UngScience - tillæg grundet Covid19-krisen (2020),304750,Ungdomsskoleforeningen,"Børn, unge og science",Science i Fritiden
801,Kids Island iværksætterakademi - tillæg grundet Covid 19 krisen (2020),100600,Gozebra,"Børn, unge og science",Science i Fritiden
802,Evaluering af science i fritiden (2020),3100000,Rambøll Danmark A/S,"Børn, unge og science",Evaluering og analyse
803,Makker-rum (2020),6300000,Jammerbugt Kommune,"Børn, unge og science",Teknologi og praktisk faglighed
804,Verdens Bedste Robotby - makerspace som læringslaboratorier (2020),5000000,Odense Kommune,"Børn, unge og science",Teknologi og praktisk faglighed
805,MakerVærket i Frederikssund (2020),6800000,Frederikssund Kommune,"Børn, unge og science",Teknologi og praktisk faglighed
806,Grobund for nye fællesskaber (2020),2800000,Den selvejende institution Øresundskollegiet,Kultur og samfund,Dagslys og frisk luft
807,Makerspaces som læringslaboratorier i Favrskov Kommune (2020),5600000,Favrskov Kommune,"Børn, unge og science",Teknologi og praktisk faglighed
808,Svendborg makerspace (2020),2000000,Svendborg Kommune,"Børn, unge og science",Teknologi og praktisk faglighed
809,Makerspaces i Lolland Kommune (2020),5600000,Lolland Kommune,"Børn, unge og science",Teknologi og praktisk faglighed
810,Verdens Lege (2020),275000,Another Playground,Kultur og samfund,Dagslys og frisk luft
811,Takt - og Tonepladsen (2020),500000,Ansager Byudvikling,Kultur og samfund,Dagslys og frisk luft
812,Data-driven Approaches for enhancing resilience of Multi-Energy systems (DAME) (2020),2200000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Villum International Postdoc
813,ATTiKA - Adaptive Tools for Technical Knowledge Acquisition (2020),2200000,IT-Universitetet i København,Teknisk og naturvidenskabelig forskning,Villum International Postdoc
814,Fusion of hydrology and geophysics for a description of surface- and groundwater dynamics in a changing climate (2020),2300000,Aarhus Universitet,Teknisk og naturvidenskabelig forskning,Villum International Postdoc
815,Building-LCA of SCALES (2020),2200000,Aalborg Universitet,Teknisk og naturvidenskabelig forskning,Villum International Postdoc
816,Salmonids in hot water: are physiological constraints causing salmonids to die? (2020),2500000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Villum International Postdoc
817,Coastal erosion hotspots - where and why? (2020),2400000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum International Postdoc
818,The Effects of Ice Nucleation Proteins on Arctic Clouds (ICARUS) (2020),6000000,Aarhus Universitet,Teknisk og naturvidenskabelig forskning,Villum Young Investigator
819,"Udekøkken, lystfiskerbro og læringscentral, mm. (2020)",450000,Foreningen til bevarelse og formidling af natur- og kulturmiljø i danske skove,Kultur og samfund,Dagslys og frisk luft
820,Udvikling af udendørsaktiviteter for alle generationer i landsbyen Ebdrup (2020),400000,Ebdrup Forsamlingshus,Kultur og samfund,Dagslys og frisk luft
821,Quantum Networks with Nonlinear Photonic Devices (QNET-NODES) (2020),6000000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Villum Young Investigator
822,Paving the Way for Biosignature Detections by Characterizing Small Exoplanets (2020),4000000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Villum Young Investigator
823,DECODENSE: Mean-Field Density Matrix Decompositions (2020),8000000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Villum Young Investigator
824,Bias Explained: Pushing Algorithmic Fairness with Models and Experiments (2020),6000000,IT-Universitetet i København,Teknisk og naturvidenskabelig forskning,Villum Young Investigator
825,The Hidden Cosmos; Bringing to light the agents of star formation and heavy element production in the early Universe (2020),4000000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Villum Young Investigator
826,Machine learning-guided design of materials for low-temperature catalysis (2020),8000000,Aarhus Universitet,Teknisk og naturvidenskabelig forskning,Villum Young Investigator
827,Quantum Metasurface: A Novel Platform for Generating and Manipulating Single Photons (2020),6000000,Syddansk Universitet,Teknisk og naturvidenskabelig forskning,Villum Young Investigator
828,Villum Kann Rasmussens Årslegat 2021 - I - personlig andel (2020),500000,Individuals,Teknisk og naturvidenskabelig forskning,Villum Kann Rasmussens Årslegat
829,Villum Kann Rasmussens Årslegat 2021 - I - institutionens andel (2020),4500000,Aarhus Universitet,Teknisk og naturvidenskabelig forskning,Villum Kann Rasmussens Årslegat
830,"Neutron stars rattling, shining, and sparkling (2020)",4000000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Young Investigator
831,Unravelling the resilience of Arctic marine mammals to future climate change using palaeo-archives (2020),4000000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Young Investigator
832,Spinning Around: New generation of Spin-Information Transistors (SANSIT) (2020),8000000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Villum Young Investigator
833,Udendørs læringsrum samt gruppelejrplads (2020),442843,Silkeborg Ungdomsskole,Kultur og samfund,Dagslys og frisk luft
834,En ny friluftszone i Frederik d. VI's Asyl (2020),375000,Frederik d. VI's Asyl,Kultur og samfund,Dagslys og frisk luft
835,Det lysfyldte grønne rum der skaber trivsel for ældre med demens (2020),2200000,Aalborg Universitet,Kultur og samfund,Dagslys og frisk luft
836,Physics of diffusive auxin transport in plant cell networks (2020),4000000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Villum Young Investigator
837,Physics of Quantum Information Applications (2020),8000000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Young Investigator
838,"Drought-induced tipping points in ecosystem functioning: Coupled insights from Earth Observation, DVMs and Field Ecology (2020)",6000000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Young Investigator
839,Understanding the First Billion Years (2020),8000000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Young Investigator
840,"Generationshaven, Dagslys og frisk luft til alle (2020)",249000,Thorsø Pavillon,Kultur og samfund,Dagslys og frisk luft
841,Lisbjerg friluftshal (2020),3400000,Netværksskolen,Kultur og samfund,Dagslys og frisk luft
842,Karrusellen (2020),1000000,Morsø Kommune,Kultur og samfund,Dagslys og frisk luft
843,Grønt Gymnasium - Undervisning og sociale aktiviteter i det fri (2020),2100000,Risskov Gymnasium,Kultur og samfund,Dagslys og frisk luft
844,Metal vapors in catalyst synthesis – a superior route to advanced materials? (2020),1200000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
845,Virus free high yield bacteria for food ingredients – Electrified ceramic membrane reactors an answer? (2020),2000000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
846,Reburning of waste plastics for NOx reduction (2020),2000000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
847,Enable bioelectro-synthesis of chiral amines (EnBioAm) (2020),2000000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
848,Engineering bacteria for self-sabotage (2020),1900000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
849,Electronic Tunneling as a Tool for Understanding Electrocatalysts Activity & Selectivity (2020),2000000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
850,Using rock surface luminescence dating of stone tools to track early human migration throughout the world (2020),1900000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
851,How hot are plasmonic hotspots? Probing the chemical reactivity of plasmonic nanoparticles with electrons (2020),2000000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
852,ViralX - Determinants of viral crossing of species barriers (2020),2000000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
853,A paradigm shift in carbohydrate chemistry: stereocontrolled glycosylation (2020),2000000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
854,Massive Exploration of the Sequence Dependence of Protein Phase Separation (2020),2000000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
855,ClimateCow: Reduceret metan-udledning fra drøvtyggere ved at dræbe metan-producerende archaea med virus (2020),2000000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
856,Does Charge Movement in Minerals Drive Landscape Evolution? (CRACK) (2020),2000000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
857,Hunting for totally new bacterial natural products (2020),1900000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
858,Cosmic Beacons (2020),2000000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
859,Lignin mimetics – Polymer materials derived from tree that will degrade at land and in the sea (2020),2000000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
860,Surface NMR with long excitation pulses - technicality or game changer? (2020),2000000,Aarhus Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
861,Syntese af avancerede organiske molekyler via asymmetrisk katalyse og C-H funktionalisering (2020),2000000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
862,Remediation of marine dead zones by enhancing microbial sulfide oxidation using electrodes (REDOX) (2020),2000000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
863,Familiepakkebidrag (2020),1000000,Mobilitetsfonden,Teknisk og naturvidenskabelig forskning,Teknisk og naturvidenskabelig forskning
864,How do mother plants protect their seedlings? (2020),2000000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
865,Tiny dragons (Kinorhyncha) answering big questions - insights into metazoan segmentation (2020),1900000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
866,Electrochemical Hydrogenation of biO-crude (ELHYOs) (2020),1800000,Aarhus Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
867,Chance for a Change (2020),13000000,Hungarian Charity Service of the Order of Malta,Unge og uddannelse i Europa,Unge og uddannelse i Europa
868,Ultrasonic evolution of microalgae: A Darwinian approach for biofuel production (2020),2000000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
869,Lifetime tracker: using kinetic GPS tags to track animals from birth to death (2020),2000000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
870,Study of electromagnetic communication between chiral drug molecules and its receptor in water (2020),2000000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
871,Trustworthy Quantum Technologies (2020),6000000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Young Investigator
872,Bridging social neuroscience and social data science: uncovering interaction and brain mechanisms in social networks (2020),6000000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Villum Young Investigator
873,Bioengineered and compartmentalised bioproduction in photosynthetic microalgae (2020),8000000,Syddansk Universitet,Teknisk og naturvidenskabelig forskning,Villum Young Investigator
874,6D ceramics (2020),6000000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Villum Young Investigator
875,Indoor Chemistry and Air Quality (2020),6000000,Aarhus Universitet,Teknisk og naturvidenskabelig forskning,Villum Young Investigator
876,Mid-infrared photoacoustic microscopy: listening to biological molecules (2020),2000000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
877,Opening the black box: imaging nanoparticle transport in porous media (2020),1900000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
