,Title,Grant size (DKK),Receiver,Project_category,Project_subcategory
1225,FISHing for the ancestors of the eukaryotic cell (2017),1900000,Aarhus Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
1226,Endolith Bioculture in 3D Printed Environments (EndoBio3D) (2017),1700000,Syddansk Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
1227,Harvesting light to convert carbon dioxide into green materials using a unique two-species adaptive evolution approach (2017),1700000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
1228,A universal approach for structure determination of peptides to medium size proteins by X-ray diffraction (2017),1900000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
1229,ArthroLube: A new approach to improve the biocompatibility and longevity of articular joint implants (2017),2000000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
1230,Deciphering the ribosome code (2017),1700000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
1231,Solid-state QED with STM (2017),1800000,Aarhus Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
1232,Superradiant atomic clock with continuous interrogation (2017),1700000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
1233,In situ solution synthesis and 3D structuring of multi-property nanocomposites (2017),2000000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
1234,"A Unique Technique, Combined with Smart Structural Design to Develop a New Class of Biobased Fiber Composite Material (2017)",1600000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
1235,Instant architect of the wall: is plant body shaped by an elusive cell wall-located pathway? (2017),1900000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
1236,VKR Centre of Excellence - Life in a changing ocean (2017),15000000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Teknisk og naturvidenskabelig forskning
1237,"Na+-K+ ATPase: The predominant consumer of ATP in the brain, studied at the single molecule level. (2017)",2000000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
1238,"Pushing exploration of Human Evolution “Backward”, by Palaeoproteomics (2017)",2000000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
1239,MicroPlastDynamics (2017),1300000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
1240,"Integrated Molecular Plasmon Upconverter for Low-cost, Scalable, and Efficient Organic Photovoltaics (IMPULSE–OPV) (2017)",1800000,Syddansk Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
1241,Hands-off biology: towards full automation of life science experiments in the cloud (2017),2000000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
1242,Villum Kann Rasmussens Årslegat 2018 - institutionens andel (2017),4500000,Aarhus Universitet,Teknisk og naturvidenskabelig forskning,Villum Kann Rasmussens Årslegat
1243,Villum Kann Rasmussens Årslegat 2018 - personlig andel (2017),500000,Aarhus Universitet,Teknisk og naturvidenskabelig forskning,Villum Kann Rasmussens Årslegat
1244,KR Foundation 2018 (2017),100000000,KR Foundation,Miljø og klima,Miljø og klima
1245,Plasmon-heated nano-tip: A lightsaber for nanoscience (2017),1700000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
1246,Electrochemical NOx-reduction with a novel tri-functional cathode (2017),1500000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
1247,Was animal domestication driven by gut microbiome humanisation? (2017),2000000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
1248,A DNA molecular motor (2017),1800000,Syddansk Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
1249,Bygningskomponentprisen 2017 (2017),60000,Troldtekt A/S,Villum Fonden,Villum Fonden
1250,No-one left behind (2017),12000000,Hope and Homes for Children,Unge og uddannelse i Europa,Unge og uddannelse i Europa
1251,Kystzonen som renseanlæg - kvantificering af dens filterfunktion (2017),999937,Aarhus Universitet,Miljø og klima,Miljø og klima
1252,Havets skove (2017),999037,Syddansk Universitet,Miljø og klima,Miljø og klima
1253,Storm impacts on coastal and shallow-marine environments (2017),951129,Københavns Universitet,Miljø og klima,Miljø og klima
1254,"Mikroplastik i havmiljøet - viden om skadevirkninger, detektionsmetoder og skæbne (2017)",1000000,Aarhus Universitet,Miljø og klima,Miljø og klima
1255,VKR Center BioNEC - Biomolecular Nanoscale Engineering Center (2017),30000000,Syddansk Universitet,Teknisk og naturvidenskabelig forskning,Teknisk og naturvidenskabelig forskning
1256,Havplan Øresund (2017),1200000,Aarhus Universitet,Miljø og klima,Miljø og klima
1257,Quantum Plasmonics: The quantum realm of metal nanostructures and enhanced light-matter interactions (2017),39000000,Syddansk Universitet,Teknisk og naturvidenskabelig forskning,Villum Investigator
1258,Matter (2017),39000000,Roskilde Universitet,Teknisk og naturvidenskabelig forskning,Villum Investigator
1259,Center for Environmental and Biological Evolution (EnBiE) (2017),37000000,Syddansk Universitet,Teknisk og naturvidenskabelig forskning,Villum Investigator
1260,"InnoTop - Interactive, Non-Linear, High-Resolution Topology Optimization (2017)",31000000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Villum Investigator
1261,Biodiversity Dynamics in a Changing World (2017),40000000,Aarhus Universitet,Teknisk og naturvidenskabelig forskning,Villum Investigator
1262,Machine learning in atomic structure determination (2017),24000000,Aarhus Universitet,Teknisk og naturvidenskabelig forskning,Villum Investigator
1263,IceFlow (2017),39000000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Investigator
1264,"Illumination of Microbial ""Dark Matter"" (2017)",30000000,Aalborg Universitet,Teknisk og naturvidenskabelig forskning,Villum Investigator
1265,Basic Algorithms Research Copenhagen (BARC) (2017),40000000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Investigator
1266,Reliable Power Electronic based Power System (REPEPS) (2017),37000000,Aalborg Universitet,Teknisk og naturvidenskabelig forskning,Villum Investigator
1267,Explosive origin of cosmic elements (2017),40000000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Investigator
1268,Kit til brug ved akut nød dåb på de Danske Hospitaler (2017),356245,Individuals,Kultur og samfund,Andre projekter
1269,Youth work as a prevention of risky behaviour in Slovakia (2017),3200000,Mládež ulice,Unge og uddannelse i Europa,Unge og uddannelse i Europa
1270,"Support: when you need it, how you need it (2017)",9600000,OZ Barlicka,Unge og uddannelse i Europa,Unge og uddannelse i Europa
1271,"Erhvervelse af Toldboden, Ribe (2017)",1700000,Sydvestjyske Museer,Kultur og samfund,Andre projekter
1272,"Professorship for ""Healthy Living Spaces"" (2017)",9100000,Universitätsklinikum Aachen,Kultur og samfund,Andre projekter
1273,Reformed Early Childhood Education in Eastern Europe (REFEE) (2017),13000000,VIA University College,Unge og uddannelse i Europa,Unge og uddannelse i Europa
1274,Shaping employment skills for young Roma (2017),10000000,Roma Education Fund,Unge og uddannelse i Europa,Unge og uddannelse i Europa
1275,Danish Science Week 2018-20 (2017),3000000,Astra,Teknisk og naturvidenskabelig forskning,Teknisk og naturvidenskabelig forskning
1276,The Science Olympiads (2017),2400000,Foreningen LMFK Sekretariatet,Teknisk og naturvidenskabelig forskning,Teknisk og naturvidenskabelig forskning
1277,'From Niche to mainstream: Increasing diversity in computer science' (2017),2800000,IT-Universitetet i København,Teknisk og naturvidenskabelig forskning,Teknisk og naturvidenskabelig forskning
1278,Jet-Net.dk on a large scale (2017),4000000,Naturvidenskabernes Hus,Teknisk og naturvidenskabelig forskning,Teknisk og naturvidenskabelig forskning
1279,Støttefonden for Niels Bohr International Academy (2017),20000000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Teknisk og naturvidenskabelig forskning
1280,VKR Professorat til Jens Kehlet Nørskov (2017),28000000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Villum Kann Rasmussen Professorat
1281,Projekt Concito 2018-2022 (2017),20000000,CONCITO,Miljø og klima,Miljø og klima
1282,From conception to employment: programme for enhancing opportunities for children in four Hungarian villages (2017),13000000,Hungarian Maltese Charity Service,Unge og uddannelse i Europa,Unge og uddannelse i Europa
1283,Complex Shapes (2017),7000000,Aarhus Universitet,Teknisk og naturvidenskabelig forskning,Villum Young Investigator
1284,Ultra fast super-resolution imaging in 3 D for Visualizing transport of Nano particles and Membrane Nano-domains (2017),8100000,Syddansk Universitet,Teknisk og naturvidenskabelig forskning,Villum Young Investigator
1285,Detecting and investigating signatures of natural selection driven by epidemics of deadly infectious diseases (2017),5000000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Young Investigator
1286,Unraveling the complex and prebiotic chemistry of star-forming regions (2017),9400000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Young Investigator
1287,Two-dimensional silicon for electronics (2017),9600000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Villum Young Investigator
1288,"Det Samfundsnyttige Landbrug, Fase II (2017)",2000000,Økologisk Landsforening,Miljø og klima,Miljø og klima
1289,5 years project - Environmental Focus (tillægsbevilling) (2017),8500000,V. Kann Rasmussen Foundation,Miljø og klima,Miljø og klima
1290,Toward Causal Learning in Real World Applications: Advances in Nonlinear and Time Series Models (CausalANTS) (2017),8199999,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Young Investigator
1291,Acceptorless alcohol dehydrogenation in ionic liquid by homogeneous catalysis (2017),9900000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Villum Young Investigator
1292,STING: Studying Transients In the Nuclei of Galaxies (2017),9900000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Young Investigator
1293,Water: Divide and Conquer (Split and Purify) (2017),7000000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Young Investigator
1294,Evolution-guided discovery of novel receptor ligands from animal venoms (2017),9500000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Young Investigator
1295,A partial cumulate origin of the subcontinental lithospheric mantle? (2017),7400000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Young Investigator
1296,Cracking the mosquito olfactory code to beat malaria (2017),9300000,Syddansk Universitet,Teknisk og naturvidenskabelig forskning,Villum Young Investigator
1297,Deciphering Cosmic Neutrinos with Multi-Messenger Astronomy (2017),7400000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Young Investigator
1298,"Hearts & Crafts Workshop, Community Space and Training Center (2017)",7200000,Salva Vita Foundation,Unge og uddannelse i Europa,Unge og uddannelse i Europa
1299,Atomic Ensembles for Clean Energy and Synthesis (AtomSyn) (2017),10000000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Young Investigator
1300,Glutathione transferases in plant specialized metabolism (2017),10000000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Young Investigator
1301,Optical Time-Lens for Ultrahigh Capacity Passive Optical Network (Lens-PON) (2017),10000000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Villum Young Investigator
1302,Protein Superstructures as Smart Biomaterials (ProSmart) (2017),8600000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Young Investigator
1303,Large-scale acoustic holography (2017),7200000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Villum Young Investigator
1304,Establishing and futher administration of the Vocational School of Theater Arts and Crafts (2017),7500000,Teatr Kamienica Fundacja ATUT,Unge og uddannelse i Europa,Unge og uddannelse i Europa
