,Title,Project Category,Receiver Name,Grant size (DKK)
703,Indkøb af kajakker (2023),Voksenlivets overgange og forandringer,Skanderborg Kano og Kajakklub,45.000 kr.
704,Fotoudstilling på Børneafdelingen - Gødstrup Sygehus (2023),Voksenlivets overgange og forandringer,FotoGruppen MidtWest,50.000 kr.
705,Støtte til garage og mødested (2023),Voksenlivets overgange og forandringer,Kjeldbjerg Borgerforening,25.000 kr.
706,Nyt udstyr til seniorredaktion (2023),Voksenlivets overgange og forandringer,Roskilde TV,70.000 kr.
707,IT-udstyr til frivillige rådgivere over 60 år (2023),Voksenlivets overgange og forandringer,Frivilligcenter SR-Bistand,48.000 kr.
708,Etablering af beboerværksted (2023),Voksenlivets overgange og forandringer,Council Center,35.000 kr.
709,Indkøb af Coastal både (2023),Voksenlivets overgange og forandringer,Aalborg Dame Roklub,100.000 kr.
710,Kulturudveksling. Dansk kor møder Det danske mindretal i Sydslesvig (2023),Voksenlivets overgange og forandringer,Fynsk Cantilena,20.000 kr.
711,To nye billardborde (2023),Voksenlivets overgange og forandringer,Billardklubben Nyborg,30.000 kr.
712,Foredrag 2024 (2023),Voksenlivets overgange og forandringer,Mænd og Kræft M/K Faxe,11.000 kr.
713,Elektrisk træhøvl (2023),Voksenlivets overgange og forandringer,Munkensdam Træværksted,32.500 kr.
714,Etablering af aktivt udemiljø (2023),Voksenlivets overgange og forandringer,Sejs Plejecenters Venneforening,100.000 kr.
715,Ny Coastal båd C2X (2023),Voksenlivets overgange og forandringer,Korsør Roklub,60.000 kr.
716,Lær at sy & Hvidovres Frivillige Reparationscafé (2023),Voksenlivets overgange og forandringer,Aktivitetscenter Hvidovre Kommune,8.000 kr.
717,Landsdækkende kommunikation ved hjælp af digitale midler (2023),Voksenlivets overgange og forandringer,Den selvejende institution Hemingway Club Denmark,13.000 kr.
718,Udskiftning af billardborde (2023),Voksenlivets overgange og forandringer,Gråsten Billard Club,30.000 kr.
719,Motion og Fællesskaber 60+ - indkøb af udstyr (2023),Voksenlivets overgange og forandringer,Vestbjerg Idrætsforening,20.000 kr.
720,Foredrag: EU er i opbrud (2023),Voksenlivets overgange og forandringer,Midtfyns Senior 60+,4.000 kr.
721,Anskaffelse af Bridgemate og kortblandemaskine (2023),Voksenlivets overgange og forandringer,Nordkystens Senior Bridgeklub,35.000 kr.
722,Udskiftning af gulv i klubhus (2023),Voksenlivets overgange og forandringer,Senioridræt Vildbjerg,50.000 kr.
723,Anskaffelse af sangbøger (2023),Voksenlivets overgange og forandringer,Iglsø Ældreklub,9.000 kr.
724,Udflugt til Arbejdermuseet (2023),Voksenlivets overgange og forandringer,Hygge- og Kulturklubben i Faxe,10.000 kr.
725,Bogudgivelse: Fra Maarsø (2023),Voksenlivets overgange og forandringer,Holbæk Museumsforening,16.000 kr.
726,"Bogudgivelse: Missionen midt iblandt os. Kristen mission til, i og fra Danmark historisk og teologisk belyst (2023)",Voksenlivets overgange og forandringer,Forlaget Eksistensen,35.000 kr.
727,Bogudgivelse: Tilløb til Bibelen 2036 (2023),Voksenlivets overgange og forandringer,Forlaget Eksistensen,7.000 kr.
728,Bogudgivelse: Pluk (2023),Voksenlivets overgange og forandringer,Skriveforlaget (Egolibris),10.000 kr.
729,Bogudgivelse: Afløbsdronningen (2023),Voksenlivets overgange og forandringer,Per K. Rasmussen ApS,20.000 kr.
730,Bogudgivelse: Monografi om H.W. Lange (2023),Voksenlivets overgange og forandringer,Forlaget Multivers ApS,15.000 kr.
731,Bogudgivelse: Martas bog (2023),Voksenlivets overgange og forandringer,Skriveforlaget (Egolibris),10.000 kr.
732,Bogudgivelse: Fra utopi til antisemitisme: Psykiatri og arkitektur i det moderne Wien (2023),Voksenlivets overgange og forandringer,Forlaget Multivers ApS,15.000 kr.
733,"Bogudgivelse: Fænomenet Dario Fo – gøgler, maler, ven (2023)",Voksenlivets overgange og forandringer,Forlaget Multivers ApS,20.000 kr.
734,Bogudgivelse: Borgmesteren i Helsingør - pesten stjal hans by (2023),Voksenlivets overgange og forandringer,Forlaget Trykværket,15.000 kr.
735,Bogudgivelse: Skibskaptajn Heinrich Peter Hoecks Livsberetning (2023),Voksenlivets overgange og forandringer,Historisk Samfund for Sønderjylland,13.000 kr.
736,Bogudgivelse: Partiet Venstre og den nordjyske Venstre-presse 1940-1943 (2023),Voksenlivets overgange og forandringer,Aalborg Universitetsforlag,30.000 kr.
737,Afklaringsrejse til Uganda - praktik i landbruguddannelser (2023),Voksenlivets overgange og forandringer,Seniorer Uden Grænser - Landsrådet,12.000 kr.
738,Bogudgivelse: Knud Rasmussen og Grønlands kolonihistorie (2023),Voksenlivets overgange og forandringer,Gads Forlag,25.000 kr.
739,Bogudgivelse: Hesbjerg Økosamfund (2023),Voksenlivets overgange og forandringer,,10.000 kr.
740,Forlængelsesbro til isætning af kano og kajak (2023),Voksenlivets overgange og forandringer,Kano- og Kajakklubben Nord,58.000 kr.
741,Byhaver i nærmiljøet (2023),Voksenlivets overgange og forandringer,NaturSydVest,53.000 kr.
742,Seniorfolkemøde 2024 (2023),Voksenlivets overgange og forandringer,Styregruppen for Seniorfolkemøde,175.000 kr.
743,Ny 2 åres inrigger (2023),Voksenlivets overgange og forandringer,Roklubben Furesø,50.000 kr.
744,Havkajakker til Silkeborg Kajakklub (2023),Voksenlivets overgange og forandringer,Silkeborg Kajakklub,110.000 kr.
745,Korspilstræf 24 (2023),Voksenlivets overgange og forandringer,Lungeforeningen,20.000 kr.
746,Indkøb af uniformer (2023),Voksenlivets overgange og forandringer,Vindingekoret,30.000 kr.
747,Bogudgivelse: Stier (2023),Voksenlivets overgange og forandringer,Forlaget Attika,5.000 kr.
748,Bogudgivelse: Hjertets dannelse (2023),Voksenlivets overgange og forandringer,Skriveforlaget (Egolibris),11.000 kr.
749,Bogudgivelse: Glæden ved at kæmpe (2023),Voksenlivets overgange og forandringer,Turbine Forlaget A/S,11.000 kr.
750,Bogudgivelse: Helgas løfte (2023),Voksenlivets overgange og forandringer,Forlaget Eftermiddag,9.000 kr.
751,Bogudgivelse: På den yderste kant (2023),Voksenlivets overgange og forandringer,Skriveforlaget (Egolibris),15.000 kr.
752,Bogudgivelse: Kamp fra hus til hus (2023),Voksenlivets overgange og forandringer,Skriveforlaget (Egolibris),11.500 kr.
753,Bogudgivelse: Drømmen om Svanholm (2023),Voksenlivets overgange og forandringer,Skriveforlaget (Egolibris),20.000 kr.
754,Bogudgivelse: Litteraturkritik og litteraturen i samfundet (2023),Voksenlivets overgange og forandringer,Forlaget Spring,25.000 kr.
755,Bogudgivelse: Tanker om krig og fred (2023),Voksenlivets overgange og forandringer,Skriveforlaget (Egolibris),10.000 kr.
756,Bogudgivelse: Gensyn med Ishøj (2023),Voksenlivets overgange og forandringer,Skriveforlaget (Egolibris),8.000 kr.
757,Råd om syn - sekretariatsfunktion og drift (2023),Voksenlivets overgange og forandringer,Komitéen for Sundhedsoplysning,600.000 kr.
758,Platform for Fællesskab - Formidling af metode og resultater (2023),Sociale indsatser,Sønderborg Kommune,150.000 kr.
759,Bogudgivelse: Atlas over danske saltvandsfisk (2023),Voksenlivets overgange og forandringer,Statens Naturhistoriske Museum,"1,6 mio. kr."
760,SMART TV/ Infoskærm (2023),Voksenlivets overgange og forandringer,Vemb Aktivitetscenter,15.000 kr.
761,Etableringen af Mandeklubben i Lyngby Taarbæk (2023),Voksenlivets overgange og forandringer,Mandeklubben i Lyngby Taarbæk,25.000 kr.
762,"Indkøb af trædrejebænk, der kan betjenes af kørestolsbrugere (2023)",Voksenlivets overgange og forandringer,Aktivitetscentret Kernehuset (Centerrådet på Ringparken),28.000 kr.
763,Sygruppe for Ukrainske kvinder (flygtninge) (2023),Voksenlivets overgange og forandringer,Kultur på Tværs Skive,7.000 kr.
764,Indkøb af speciallavet drejebænk til handicappede og ældre deltagere (2023),Voksenlivets overgange og forandringer,Randers og Omegns Husflid,28.000 kr.
765,Foredrag ved Generalforsamling (2023),Voksenlivets overgange og forandringer,Danske Seniorer,10.000 kr.
766,Batteri til rickshaw cykel (2023),Voksenlivets overgange og forandringer,Dansk Cyklistforbund,6.700 kr.
767,Køb af ny kortblandemaskine (2023),Voksenlivets overgange og forandringer,Lillerød Bridgeklub,30.000 kr.
768,"Udstillingen ""Sæby 500 år"" (2023)",Voksenlivets overgange og forandringer,For Retfærdigheden,10.000 kr.
769,Forundersøgelse - Styrkelse af Phumakanye-skolens rolle i udvikling af lokalsamfundet (2023),Voksenlivets overgange og forandringer,Seniorer Uden Grænser - Landsrådet,19.000 kr.
770,Renovering af vandskihop (2023),Voksenlivets overgange og forandringer,Skanderborg Vandski Klub,35.000 kr.
771,Anskaffelse af løftegrej (2023),Voksenlivets overgange og forandringer,Vallensbæk Sejlklub,25.000 kr.
772,Indkøb af nyt billardklæde (2023),Voksenlivets overgange og forandringer,Horsens Kommune,7.500 kr.
773,Anskaffelse af lydudstyr (2023),Voksenlivets overgange og forandringer,Hvidovre Kommune,10.000 kr.
774,Drejeudstyr til træværksted (2023),Voksenlivets overgange og forandringer,Fuglsangsø Aktivitetscenter,15.000 kr.
775,Writer in residence: Tine Høeg (2023),Human- og samfundsvidenskabelig forskning og kultur,Københavns Universitet,625.000 kr.
776,Writer-in-residence - Gry Stokkendahl Dalgas (2023),Human- og samfundsvidenskabelig forskning og kultur,Roskilde Universitet,624.972 kr.
777,Writer-in-residence - Malte Tellerup (2023),Human- og samfundsvidenskabelig forskning og kultur,Københavns Universitet,625.000 kr.
778,Writer-in-residence - Kirstine Reffstrup (2023),Human- og samfundsvidenskabelig forskning og kultur,Aarhus Universitet,624.948 kr.
779,Writer-in-residence - Rasmus Daugbjerg (2023),Human- og samfundsvidenskabelig forskning og kultur,Syddansk Universitet,624.750 kr.
780,Writer-in-residence - Emeli Bergman (2023),Human- og samfundsvidenskabelig forskning og kultur,Aarhus Universitet,624.988 kr.
781,Writer-in-residence - Caroline Albertine Minor (2023),Human- og samfundsvidenskabelig forskning og kultur,Aalborg Universitet,624.999 kr.
782,Writer-in-residence - Glenn Bech (2023),Human- og samfundsvidenskabelig forskning og kultur,Syddansk Universitet,624.225 kr.
783,Livskvalitet på hjul (2023),Voksenlivets overgange og forandringer,Frivilligcenter Sorø,377.000 kr.
784,"Bogudgivelse: Vejen til velstand. Kapitalismen og det moderne Danmark,1930-2020 (2023)",Voksenlivets overgange og forandringer,Syddansk Universitetsforlag,363.000 kr.
785,Udbredelse og forankringsprojekt: Vejen til hverdagslivet (2023),Sociale indsatser,Peer-Partnerskabet,6 mio. kr.
786,"Glaukom, AMD og Diabetisk retinopati: fra Epidemiologi til National implementering (GARDEN) (2023)",Voksenlivets overgange og forandringer,Odense Universitetshospital,11 mio. kr.
787,Den Rullende Daghøjskole - Tillægsbevilling (2023),Sociale indsatser,Kompetencehuset,1.800 kr.
788,Bygningskomponentprisen 2023 (2023),Velux Fonden,Ibsen L.B Aps,40.000 kr.
789,Bygningskomponentprisen 2023 (2023),Velux Fonden,BAYO.S Skruefundamenter,40.000 kr.
790,Bygningskomponentprisen 2023 (2023),Velux Fonden,Andreasen og Hvidberg,40.000 kr.
791,Et klimatilpasset Danmark - når havet møder landet (2023),Et hav i balance,Det Nationale Netværk for Klimatilpasning,"1,5 mio. kr."
792,Familierevolutionen i Danmark: Oplevelser og Institutioner (2023),Velux Fonden,Syddansk Universitet,"8,9 mio. kr."
793,Stole Yoga (2022),Voksenlivets overgange og forandringer,Foreningen Mennesker Mødes,15.000 kr.
794,Indkøb af glasovn (2022),Voksenlivets overgange og forandringer,Seniorhuset Otterup,15.000 kr.
795,Indkøb af værktøj og 2 nye ergometre (2022),Voksenlivets overgange og forandringer,Vejle Roklub,60.000 kr.
796,Indkøb af bowling kugler (2022),Voksenlivets overgange og forandringer,Ældre Sagen - Hovedkontor,30.000 kr.
797,"Bogudgivelse: Alvin, Underhunden og andre fortællinger (2022)",Voksenlivets overgange og forandringer,Werks Grafiske Hus,7.500 kr.
798,Bogudgivelse: Om det vigtige (2022),Voksenlivets overgange og forandringer,Skriveforlaget (Egolibris),10.000 kr.
799,Kreative Vendelboer - værksted for trædrejning (2022),Voksenlivets overgange og forandringer,Kreative Vendelboer,50.000 kr.
800,Projektforberedelse - Uganda (2022),Voksenlivets overgange og forandringer,Seniorer Uden Grænser - Landsrådet,30.000 kr.
801,Kursusudgifter samt brochure (2022),Voksenlivets overgange og forandringer,Mænd og Kræft M/K Faxe,40.000 kr.
802,Renovering af kanonlavetter på Bornholms Forsvarsmuseum (2022),Voksenlivets overgange og forandringer,Bornholms Forsvarsmuseum,60.000 kr.
803,Bogudgivelse: Børnene fra Klondyke (2022),Voksenlivets overgange og forandringer,Skriveforlaget (Egolibris),10.000 kr.
804,Liv i Lillebælt - forprojekt (2022),Et hav i balance,Middelfart Kommune,500.000 kr.
805,Bogudgivelse: Cancer (2022),Voksenlivets overgange og forandringer,Forlaget Tro-fast,10.000 kr.
806,"Indkøb af rickshaw cykel til kørestolsbrugere - ""vind i håret"" (2022)",Voksenlivets overgange og forandringer,Skolebakkens Venner (Lolland Kommune CVR 61023917),50.000 kr.
807,Katalog: Skulpturer og anden kunst i Galten-Skovby (2022),Voksenlivets overgange og forandringer,Den Selvejende Institution BIO-Huset,23.200 kr.
808,"Bogudgivelse: Søren Lund Dagbog, Italien 1904 (2022)",Voksenlivets overgange og forandringer,Arena Luanda,10.000 kr.
809,Bogudgivelse: Legenderne og Stjernerne i Cricket (2022),Voksenlivets overgange og forandringer,,11.250 kr.
810,Bygningsrenovering - Besøgscenter Hougaarden (2022),Voksenlivets overgange og forandringer,Levende Landsbykultur i Vesthimmerland,70.000 kr.
811,Festivand arrangement 2022 (2022),Voksenlivets overgange og forandringer,Festivand,65.000 kr.
812,Bogudgivelse: Hørsholm Kirke 200 år (1823-2023) (2022),Voksenlivets overgange og forandringer,,15.000 kr.
813,Klimabevægelsen - Fra græsrod til organisation (2022),Velux Fonden,Klimabevægelsen i Danmark,3 mio. kr.
814,Partnerskabsaftale 2022 (2022),Voksenlivets overgange og forandringer,Faglige Seniorer,"1,3 mio. kr."
815,Bogudgivelse: Natsværmere - en sommerromance (2022),Voksenlivets overgange og forandringer,Skriveforlaget (Egolibris),10.000 kr.
816,Kvinderne på banen (2022),Sociale indsatser,OMBOLD Gadefodbold,487.045 kr.
817,Nationalt Center for Marin Naturgenopretning (2022),Et hav i balance,Aarhus Universitet,7 mio. kr.
818,Bogudgivelse: Omgrænser (2022),Voksenlivets overgange og forandringer,Forlaget Multivers ApS,10.000 kr.
819,Indkøb af bord og bænkesæt (2022),Voksenlivets overgange og forandringer,Kongerslev Idrætsforening,11.500 kr.
820,Bogudgivelse: De Eventyrlige Kvinder (2022),Voksenlivets overgange og forandringer,Kvindelige Eventyreres Klub,30.000 kr.
821,Bogudgivelse: Flygtningeskæbner og gustent overlæg. Den græske tragedie (2022),Voksenlivets overgange og forandringer,Forlaget Mondo Grande - Christoffersen Consulting,15.000 kr.
822,Indkøb af Plænetraktor (2022),Voksenlivets overgange og forandringer,Houlbjerg-Laurbjerg IF,50.000 kr.
823,Anskaffelse af Coastal-Light-toer til 65+ aldersgruppen (2022),Voksenlivets overgange og forandringer,Holte Roklub,35.000 kr.
824,Elektriske bådmotorer og batterier (2022),Voksenlivets overgange og forandringer,Sorø Lystfiskerforening,20.000 kr.
825,Efterårskoncert (2022),Voksenlivets overgange og forandringer,Høje Taastrup Seniorkor,13.000 kr.
826,Printer og kontorudstyr (2022),Voksenlivets overgange og forandringer,"Pensionistforeningen ""Nordlyset""",10.000 kr.
827,Bogudgivelse: Billedlig talt (2022),Voksenlivets overgange og forandringer,Andelsforlaget Ravnerock,10.000 kr.
828,Forskønnelse af Orø Havn (2022),Voksenlivets overgange og forandringer,Orø Bådelaug,60.000 kr.
829,Bogudgivelse: Skal vi læse? (2022),Voksenlivets overgange og forandringer,Agos Forlag,10.000 kr.
830,Indkøb af Side-by-side cykel og ekstra batteri (2022),Voksenlivets overgange og forandringer,Sammenslutningen af Frivillige i Blomsterparken og Kirsebærhaven,40.000 kr.
831,Køge Bugt Marine Park (2022),Et hav i balance,Køge Bugt Stenrev,"9,6 mio. kr."
832,Førstehjælps- og hjertestarterkursus (2022),Voksenlivets overgange og forandringer,Ældre Sagen - Hovedkontor,14.000 kr.
833,Indkøb af Bridgemate boxe (2022),Voksenlivets overgange og forandringer,Næshøj Bridge Klub,20.000 kr.
834,Bogudgivelse: Kildespring (2022),Voksenlivets overgange og forandringer,Forlaget Hedwig ApS (Mellemgaard),10.000 kr.
835,Palæstina i Danmark (2022),Voksenlivets overgange og forandringer,Oktoberkoret,22.000 kr.
836,"Tilbygning af nyt fleksibelt motions-, møde- og klublokale (2022)",Voksenlivets overgange og forandringer,Guldborgsund Kajakklub,150.000 kr.
837,Indkøb af J70-sejlbåd (2022),Voksenlivets overgange og forandringer,Svendborg Sunds Sejlklub,100.000 kr.
838,Bogudgivelse: Grønt smørrebrød - økologisk og plantebaseret (2022),Voksenlivets overgange og forandringer,Alpha Forlag A/S,15.000 kr.
839,Julebelysning i Nustrup (2022),Voksenlivets overgange og forandringer,Lokalråd for Gabøl/Nustrup Landdistrikt,30.000 kr.
840,Tilskud til afholdelse af arkivuddannelse (2022),Voksenlivets overgange og forandringer,Gudum Sognearkiv,10.000 kr.
841,Prime-editing: et nyt gen-editeringsværktøj til behandling af arvelige nethinde sygdomme (2022),Voksenlivets overgange og forandringer,Aarhus Universitet,"3,1 mio. kr."
842,Blue People Projekt (2022),Voksenlivets overgange og forandringer,Thurø Sejlklub,36.000 kr.
843,Bogudgivelse: Litteraturmusklen. Introduktion til sociokognitiv litteraturteori og -analyse (2022),Voksenlivets overgange og forandringer,Syddansk Universitetsforlag,20.000 kr.
844,Søndertoftens aktivitetsplads (2022),Voksenlivets overgange og forandringer,Ljørslev Ørding Beboerforening,40.000 kr.
845,Logotøj til laugets frivillige (2022),Voksenlivets overgange og forandringer,Huul Møllelaug,11.000 kr.
846,Videre udvikling af mit grafiske værk (2022),Voksenlivets overgange og forandringer,,15.000 kr.
847,Bredsten Pensionist / Senior Festival (2022),Voksenlivets overgange og forandringer,Bredsten Senior Festival,20.000 kr.
848,Materiel til vedligeholdelse af kroket- og krolfbaner (2022),Voksenlivets overgange og forandringer,Humørklubben Thyborøn,20.000 kr.
849,Udgifter ved foredrag og udflugter (2022),Voksenlivets overgange og forandringer,Hemingway Club,40.000 kr.
850,Renovering af materialerum i klubhus (2022),Voksenlivets overgange og forandringer,Vamdrup Krolf Klub,10.000 kr.
851,Publikationsstøtte til Livsformernes neokulturation under statssystemets og verdensøkonomiens transformation (2022),Human- og samfundsvidenskabelig forskning og kultur,Han Herred Havbåde,59.700 kr.
852,Opførelse af Flygtningebarak (2022),Voksenlivets overgange og forandringer,Aalborg Forsvars- og Garnisonsmuseum,125.000 kr.
853,Værktøj og maskineri til Gl. Munkebo Miniby (2022),Voksenlivets overgange og forandringer,Gl. Munkebo Miniby,75.000 kr.
854,International fodboldturnering i Roskilde 2022 for spillere over 70 år (World Cup 70+) (2022),Voksenlivets overgange og forandringer,REOS - Roskilde Egnens Oldboys Sammenslutning,50.000 kr.
855,Bogudgivelse: Helgener og domkirker i Aarhus (2022),Voksenlivets overgange og forandringer,Forlaget Hovedland,15.000 kr.
856,Projekt Plastic Change - Cutting Edge Impact 2022-2027 (2022),Et hav i balance,Plastic Change,"8,2 mio. kr."
857,Landsstævne for folkedansere og spillemænd i Aalborg 2022 (2022),Voksenlivets overgange og forandringer,Dans Danmark,100.000 kr.
858,"Bogudgivelse: Fra skipperliv i Marstal til østrigsk fangenskab, - en upåagtet skæbne i krigen 1864 (2022)",Voksenlivets overgange og forandringer,Marstal Søfartsmuseum,10.000 kr.
859,Bogudgivelse: Frisind og fremtid (2022),Voksenlivets overgange og forandringer,Jensen & Dalgaard Forlag,15.000 kr.
860,Grøn Omstilling af Danmarks Blå Økonomi - tillægsansøgning (2022),Et hav i balance,WWF Verdensnaturfonden,525.000 kr.
861,Tourguide-system til seniorer (2022),Voksenlivets overgange og forandringer,Sydhavnens Seniorer,16.000 kr.
862,Seniorarrangementer i Næsby (2022),Voksenlivets overgange og forandringer,Næsby Boldklub,32.000 kr.
863,Bogudgivelse: Tråde i tiden (2022),Voksenlivets overgange og forandringer,,7.500 kr.
864,Indkøb af påhængsmotor til båd (2022),Voksenlivets overgange og forandringer,Frederikshavn Sportsdykker Klub,60.000 kr.
865,Forstå det Blå – kortlægning og analyse af læringsmuligheder der bidrager til Ocean Literacy i Danmark (2022),Et hav i balance,Københavns Universitet,"1,7 mio. kr."
866,ATV med trailer til de frivillige i Tryggelev Nor (2022),Voksenlivets overgange og forandringer,Fugleværnsfonden,125.000 kr.
867,Livskvalitet på tværs af generationer (2022),Voksenlivets overgange og forandringer,Venneforening Hvissinge Seniorer,22.500 kr.
868,Etablering af Mødestedet (2022),Voksenlivets overgange og forandringer,Hylke Købmandsforening,60.000 kr.
869,Bogudgivelse: LDR Jubilæumsbog 2022 - Lyngby Dameroklub fejrer 90 år (2022),Voksenlivets overgange og forandringer,Lyngby Dameroklub,5.000 kr.
870,Indkøb af stole og borde i Strib Bibliotek (2022),Voksenlivets overgange og forandringer,Bevar Strib Bibliotek,70.000 kr.
871,Løbebånd til motionsrum (2022),Voksenlivets overgange og forandringer,Centerrådet ved Lokalcenter Toftegården,25.000 kr.
872,Bogudgivelse: Ønskebørn og horeunger (2022),Voksenlivets overgange og forandringer,Skriveforlaget (Egolibris),10.000 kr.
873,Bogudgivelse: En flygtning på sporet af det danske liv (2022),Voksenlivets overgange og forandringer,Forlaget Trykværket,10.000 kr.
874,Anskaffelse af ergometre og tilbehør til både (2022),Voksenlivets overgange og forandringer,Køge Roklub,100.000 kr.
875,Klimakaravanen (2022),Voksenlivets overgange og forandringer,Klimakaravanen,30.000 kr.
876,Bogudgivelse: Still in Play (2022),Voksenlivets overgange og forandringer,Forlaget Spring,25.000 kr.
877,Bogudgivelse: Livsmod - en fortælling om Johanne Hansen (2022),Voksenlivets overgange og forandringer,Forlaget Trykværket,10.000 kr.
878,Bogudgivelse: Hvem var de? Gadeskiltene på Christianshavn åbner et vindue til 400 års historie (2022),Voksenlivets overgange og forandringer,Christianshavns Lokalhistoriske Forening,15.000 kr.
879,Bogudgivelse: På jorden under himlen - En teologs erindringer (2022),Voksenlivets overgange og forandringer,Forlaget Hovedland,15.000 kr.
880,Bogudgivelse: Præstø jernbane (2022),Voksenlivets overgange og forandringer,Skinne Bøger,22.500 kr.
881,CD-indspilning for Naxos 2022: Lars Aksel Bisgaard klaverværker (2022),Voksenlivets overgange og forandringer,,15.000 kr.
882,Indkøb af bordtennisborde til seniorbordtennis +60 (2022),Voksenlivets overgange og forandringer,Vestervig Tennis- og Badmintonklub,15.000 kr.
883,Levende Lydfortælling 2 (2022),Voksenlivets overgange og forandringer,Dorte Futtrup Forlag,10.000 kr.
884,Anskaffelse af kortblander (2022),Voksenlivets overgange og forandringer,Ballerup Ældrebridge,30.000 kr.
885,Bindeleddets Mødreindsats (2022),Sociale indsatser,Fonden Bindeleddet,"2,4 mio. kr."
886,Træningsudstyr til Hellerup Kajakklub (2022),Voksenlivets overgange og forandringer,Hellerup Kajakklub,30.000 kr.
887,Enhed til lægning af spil til bridge (2022),Voksenlivets overgange og forandringer,Roskilde Bridgeunion,30.000 kr.
888,Indkøb af fitness-maskiner (2022),Voksenlivets overgange og forandringer,Grimstrup Fitness,30.000 kr.
889,Tilbygning til maskinhus (2022),Voksenlivets overgange og forandringer,Vestfyns Hjemstavnsforening,53.000 kr.
890,Indkøb af brugt Billardbord (2022),Voksenlivets overgange og forandringer,Ældre Sagen - Hovedkontor,10.000 kr.
891,Anskaffelse af frimærkekataloger (2022),Voksenlivets overgange og forandringer,Præstø og Omegns Frimærkeklub,3.000 kr.
892,Seniorfolkemøde 2022 (2022),Voksenlivets overgange og forandringer,Styregruppen for Seniorfolkemøde,125.000 kr.
893,"Bogudgivelse: Mennesker i alle lande, foren jer (2022)",Voksenlivets overgange og forandringer,Forlaget Hedwig ApS (Mellemgaard),15.000 kr.
894,Pædagogiske veje til en ’vaccine’ mod den stigende mistrivsel blandt unge (2022),Sociale indsatser,Aalborg Universitet,"4,3 mio. kr."
895,Kurser for museumforeninger (2022),Voksenlivets overgange og forandringer,SAMMUS - Danske Museumsforeninger,72.000 kr.
896,Opbygning af digital togbane (2022),Voksenlivets overgange og forandringer,Nordvestsjællands N-Modulklub,25.000 kr.
897,Anskaffelse af fitnessmaskiner (2022),Voksenlivets overgange og forandringer,Silkeborg-Voel KFUM,15.000 kr.
898,Bogudgivelse: Med roser i hjertet (2022),Voksenlivets overgange og forandringer,Trappendal Forlag,10.000 kr.
899,"Bogudgivelse: Udgivelse af manuskriptet ""Alberts lære"" om Albert Camus' forfatterskab og samfundstænkning (2022)",Voksenlivets overgange og forandringer,Aarhus Universitetsforlag,15.000 kr.
900,Samarbejde mellem ældre og unge om skydning - udstyr (2022),Voksenlivets overgange og forandringer,Sundeved Skytteforening,25.000 kr.
901,Bogudgivelse: Kvindernes indtog (2022),Voksenlivets overgange og forandringer,Forlaget Hovedland,15.000 kr.
902,Bogudgivelse: Luca og delfinerne i Limfjorden (2022),Voksenlivets overgange og forandringer,CasaLuna,5.000 kr.
903,Indkøb af teleslyngeanlæg (2022),Voksenlivets overgange og forandringer,Viborg Museumsforening,50.000 kr.
904,Bogudgivelse: Velfærdssamfundet (2022),Voksenlivets overgange og forandringer,Forlaget Hedwig ApS (Mellemgaard),15.000 kr.
905,Bogudgivelse: Peter Sabroe (2022),Voksenlivets overgange og forandringer,Forlaget Hovedland,10.000 kr.
906,Handicap omklædningsrum (2022),Voksenlivets overgange og forandringer,Lemvig Sejlklub,65.000 kr.
907,Bogudgivelse: Orientalisme i europæisk litteratur (2022),Voksenlivets overgange og forandringer,Forlaget Multivers ApS,20.000 kr.
908,Frivillighed og fællesskab - Aarhus Festuge (2022),Voksenlivets overgange og forandringer,Aarhus Festuge Fond,95.000 kr.
909,Bogudgivelse: Der er altid lys forude (2022),Voksenlivets overgange og forandringer,Forlaget UbiRex,7.500 kr.
910,Indkøb af syv borde til aktivitetsrum (2022),Voksenlivets overgange og forandringer,Danske Seniorer,20.000 kr.
911,Bogudgivelse: Øjeblikke - indtryk og udtryk (2022),Voksenlivets overgange og forandringer,,7.500 kr.
912,Bogudgivelse: Hvis jeg havde turdet (2022),Voksenlivets overgange og forandringer,Forlaget Ådalen,15.000 kr.
913,Opgradering af møbler (2022),Voksenlivets overgange og forandringer,Esbjerg Bordtennis Klub 60+,24.000 kr.
914,Bogudgivelse: Sådan er Det (2022),Voksenlivets overgange og forandringer,Forlaget Hedwig ApS (Mellemgaard),10.000 kr.
915,Anskaffelse af trailer til robåde (2022),Voksenlivets overgange og forandringer,Thisted Ro- og Kajakklub,67.000 kr.
916,Anskaffelse af udstyr til butik (2022),Voksenlivets overgange og forandringer,Tavlhøjcentrets Brugerråd,6.000 kr.
917,Anskaffelse af IT-udstyr til undervisning (2022),Voksenlivets overgange og forandringer,Tavlhøjcentrets Brugerråd,15.000 kr.
918,Bogudgivelse: Dagen og vejen (2022),Voksenlivets overgange og forandringer,Forlaget Hedwig ApS (Mellemgaard),7.500 kr.
919,Forskønnelse af grønt område (2022),Voksenlivets overgange og forandringer,Hadsund Sejlklub,70.000 kr.
920,Bogudgivelse: Sproget i hjernen (2022),Voksenlivets overgange og forandringer,Skriveforlaget (Egolibris),7.500 kr.
921,Bogudgivelse: Morgenstjernens gudinde (2022),Voksenlivets overgange og forandringer,Forlaget Hedwig ApS (Mellemgaard),7.500 kr.
