,Title,Project Category,Receiver Name,Grant size (DKK)
71,Ensuring deployment of offshore wind in European seas is done the green way (2024),Et hav i balance,Seas At Risk,"2,5 mio. kr."
72,Forsuring af havet og havets kulstofkredsløb overordnet - 'proof of concept' af nye strategier (2024),Et hav i balance,UNESCO,"2,4 mio. kr."
73,MarinePlastic II (2024),Et hav i balance,Roskilde Universitet,8 mio. kr.
74,Metaller og halvmetaller i produceret vand - påvirkning af det marine havmiljø (2024),Et hav i balance,Danmarks Tekniske Universitet,"4,4 mio. kr."
75,Projekt Ghostnet Denmark (2024),Et hav i balance,Foreningen North Nature,"1,2 mio. kr."
76,"Bogudgivelse: Torsten, Rolf og Nornerne (2024)",Voksenlivets overgange og forandringer,Forlaget Hedwig ApS (Mellemgaard),15.000 kr.
77,Bogudgivelse: Pas på Staten (2024),Voksenlivets overgange og forandringer,Wadskjær Forlag,25.000 kr.
78,Bogudgivelse: Befrielsen (2024),Voksenlivets overgange og forandringer,Forlaget Hovedland,15.000 kr.
79,Bogudgivelse: Vejrhaner på Møn (2024),Voksenlivets overgange og forandringer,Skriveforlaget (Egolibris),5.000 kr.
80,Bogudgivelse: Grænseløs i grænselandet (2024),Voksenlivets overgange og forandringer,Forlaget Tekst og Design,10.000 kr.
81,Bogudgivelse: Jazzkatten og Olivia - på skulpturjagt i Holstebro (2024),Voksenlivets overgange og forandringer,Forlaget Trykværket,25.000 kr.
82,Bogudgivelse: Fjordens Kant (2024),Voksenlivets overgange og forandringer,Bogforlaget Frydenlund,35.000 kr.
83,Bogudgivelse: Sporten i kunsten - Når krop og kamp fortolkes i form og farve (2024),Voksenlivets overgange og forandringer,Gads Forlag,35.000 kr.
84,Digitalisering af indleverede arkivalier (2024),Voksenlivets overgange og forandringer,Elling Sogns Lokalhistoriske Arkiv,11.000 kr.
85,Tilskud til udstyr og materialer (2024),Voksenlivets overgange og forandringer,Odder Bordtennis,30.000 kr.
86,Keramikværkstedet i Trige (2024),Voksenlivets overgange og forandringer,Trige Sammenhold,50.000 kr.
87,"PC til formand, kasserer og sekretær (2024)",Voksenlivets overgange og forandringer,Arrild Efterløns- og Pensionistforening,10.000 kr.
