,Year,Reciever,Grant size (DKK),Description,Project Category
6831,2013,"Løbeklubben Degnemoseløberen, Hovedstaden",2.200 kr.,Samaritervagt til Motionsløb,GAMMELT
6832,2013,"Hospice Søndergård, Hovedstaden",400.000 kr.,Rum og relationer på Hospice,GAMMELT
6833,2013,"Bagsværd Roklub, Hovedstaden",17.000 kr.,Redningsveste,GAMMELT
6834,2013,"Træningscenter Brøndby, Hovedstaden",125.000 kr.,Indkøb af Lite gait,GAMMELT
6835,2013,"Geodatastyrelsen, Landsdækkende",300.000 kr.,"Merbevilling, projekt 112 app",GAMMELT
6836,2013,"Helsingør Lokalcenter, Hovedstaden",54.225 kr.,Førstehjælpskursus,GAMMELT
6837,2013,"Hvidovre Hospital, Børneafdelingen, Hovedstaden",250.000 kr.,Hospitalsklovn Stella,GAMMELT
6838,2013,"Region Sjælland, Partnerskabet, Landsdækkende",4.717.800 kr.,Sund Uddannelse,GAMMELT
6839,2013,"Frederiksberg Sogns Børnehus, Hovedstaden",20.000 kr.,Førstehjælpskursus,GAMMELT
6840,2013,"Fårvang skole, Midtjylland",9.125 kr.,Køb af cykelhjelme,GAMMELT
6841,2013,"Det Grønlandske Hus, Landsdækkende",550.000 kr.,Tryg inklusion,GAMMELT
6842,2013,"Horton Hovedpineforening, Landsdækkende",450.000 kr.,Indkøb af iltmasker,GAMMELT
6843,2013,"Hospitalsenheden Vest og Aarhus Universitet, Landsdækkende",552.832 kr.,"Hjerterehabilitering, Ph.d.",GAMMELT
6844,2013,"Ådalshallen, Midtjylland",5.869 kr.,Hjertestarterskab,GAMMELT
6845,2013,"ADHD-foreningen, Landsdækkende",511.522 kr.,Effekten af Kærlighed i Kaos – en tillægsbevilling,GAMMELT
6846,2013,"Odontologisk Institut, Københavns Universitet, Landsdækkende",733.950 kr.,"Diabetes, tandsygdomme og hjælp til en sundere livsstil",GAMMELT
6847,2013,"Lykkebo skole, Landsdækkende",320.444 kr.,Den rejsende problemknuser,GAMMELT
6848,2013,"Rigshospitalet, , Landsdækkende",815.433 kr.,Internet værktøj til type 2 diabetes patienters egenomsorg,GAMMELT
6849,2013,"Blå Kors Danmark, Midtjylland",54.300 kr.,Tidlig indsats mod alkoholforbrug,GAMMELT
6850,2013,"Frivilligcenter SR-Bistand, Landsdækkende",324.960 kr.,"""Fra underskud til overskud""",GAMMELT
6851,2013,"SaralystFonden, Midtjylland",14.000 kr.,Madbilletter og ferie,GAMMELT
6852,2013,"Ungdommens Røde Kors, Landsdækkende",100.000 kr.,Lektiecafetopmødet 2013,GAMMELT
6853,2013,"DANSIC - Danish Social Innovation Club, Landsdækkende",85.000 kr.,DANSIC,GAMMELT
6854,2013,"Databasernes Fællessekretariat, Landsdækkende",988.219 kr.,Patientsikkerhedskultur,GAMMELT
6855,2013,"Børnehjælpsdagen, Landsdækkende",3.000.000 kr.,Børnenes IT-Fond,GAMMELT
6856,2013,"Bamsehospitalet, Landsdækkende",50.000 kr.,Bamsehospitalet opruster,GAMMELT
6857,2013,"Aarhus Kano & Kajak Klub, Midtjylland",15.000 kr.,Støtte til førstehjælpskursus,GAMMELT
6858,2013,"Rødehus, Midtjylland",2.275 kr.,Indkøb af cykelhjelme,GAMMELT
6859,2013,"Psykiatrisk Center København, Afd O Rigshospitalet, Landsdækkende",280.000 kr.,E-monitorering ved depression,GAMMELT
6860,2013,"Syddansk Universitet, Landsdækkende",95.550 kr.,Irritabel tyktarm - 5 år efter,GAMMELT
6861,2013,"SFI , Landsdækkende",975.585 kr.,Demens og kørselsstop,GAMMELT
6862,2013,"""Foreningen af Frivillige ved Hospice"", Landsdækkende",100.000 kr.,"""Kunstnere i Hospice""",GAMMELT
6863,2013,"Ungdommens tænketank YouGlobe, Landsdækkende",1.165.000 kr.,Bland dig - ikke - udenom,GAMMELT
6864,2013,"Børne- og Ungdomspsykiatrisk Center, Risskov , Landsdækkende",16.500 kr.,Belastning & kompetencefølelse,GAMMELT
6865,2013,"Oplysning om Organdonation - gi' livet videre, Landsdækkende",287.500 kr.,Giv Livet Videre,GAMMELT
6866,2013,"Aarhus Universitet , Landsdækkende",210.500 kr.,PTSD Coach App på dansk,GAMMELT
