,Year,Receiver,Grant size (DKK),Description,Project Category
315,2021,Børnenes Kontor aalborg,296.555,Ekstraordinær hjælp til Børnenes Kontor Aalborg,Nordjylland
316,2021,KUNSTEN – Museum of Modern Art Aalborg,45.000,Partner i Kunsten Business for 2020,Nordjylland
317,2021,Hollufgård Artist Residence – Skulpturpark,300.000,Brydningstid,Samtidskunst
318,2021,Hicsum,40.000,HICSUM 2021,Klassisk musik
319,2021,Fejø Kammermusikforening/Fejø Kammermusikfestival 2017,40.000,Fejøs Festival 2021,Klassisk musik
320,2021,Klassiske koncerter – i Djurs og Mols,40.000,"Klassiske Koncerter – i Djurs og Mols, 10 års jubilæumsfestival",Klassisk musik
321,2021,Festival & Friends,75.000,Festival & Friends,Klassisk musik
322,2021,Goldschmidts Musikakademi,1.000.000,Goldschmidts Musikakademi – trivsel gennem musik,Klassisk musik
323,2021,Frederikshavn Byfond,25.000,Poesivandringer med fællessang,Nordjylland
324,2021,Den selvejende institution Hvide Sande Masterclass,40.000,Hvide Sande Masterclass 2021,Klassisk musik
325,2021,Foreningen Kunstkritikk.dk,1.500.000,Kunstkritikk – Dansk-international satsning,Samtidskunst
326,2021,Louisiana Museum of Modern Art,2.000.000,MOR! / KREATIVITET,Samtidskunst
327,2021,Esbjerg Int. Chamber Music Festival,40.000,Kammermusikfestival – EICMF og mesterkursus der fylder 23 år i 2021. Esbjerg International Chamber Music Festival med overskriften “Russian Rarities og Zemlinsky´s ‘Ekspressionist’ Øjeblik”,Klassisk musik
328,2021,Bentha Nielsen,6.000,Legat – tidligere CW Obels Støttefond,Nordjylland
329,2021,Kaj Arne Peter Pedersen,6.000,Legat – tidligere CW Obels Støttefond,Nordjylland
330,2021,Bernice Evelyn Ottesen,14.400,Legat – tidligere CW Obels Støttefond,Nordjylland
331,2021,Foreningen Carl Nielsen Festival,500.000,Carl Nielsen Festival,Klassisk musik
332,2021,KUNSTEN – Museum of Modern Art Aalborg,4.500.000,Kunsten Museum of Modern Art – 3 årigt internationalt udstillingsprogram,Samtidskunst
333,2021,Social Sundhed Aalborg,570.000,Alle nordjyder har ret til lighed i sundhed,Nordjylland
334,2021,Fanø Sommerkoncerter,30.000,Fanø Sommerkoncerter,Klassisk musik
335,2021,Copenhagen Summer Festival,30.000,Copenhagen Summer Festival 2021,Klassisk musik
336,2021,Møn Sommerkoncert,25.000,Møn Sommerkoncert 2021,Klassisk musik
337,2021,Fri-Stedet,56.500,Dreamteam præsenterer SØ drømmefestival,Nordjylland
338,2021,Kirkens Korshær Aalborg,80.000,Akut coronahjælp til Kirkens Korshærs Børne- og Familiearbejde i Nordjylland,Nordjylland
339,2021,Primer,100.000,Antarctica From Space,Samtidskunst
340,2021,Lil Lacy Music,100.000,you’re somehow connected,Samtidskunst
341,2021,Frederiksberg Festspil,200.000,Frederiksberg Festspil 2021,Klassisk musik
342,2021,Nikolaj Kunsthal,1.500.000,Etablering og udvikling af “Platform” – et udstillingsrum for unge kunstnere og kuratorer i Nikolaj Kunsthal,Samtidskunst
343,2021,Herning Opera Festival,200.000,Herning Opera Festival 2021,Klassisk musik
344,2021,Motherboard I/S,125.000,I am All my Ages – en ny operatrilogi,Klassisk musik
345,2021,Ung Nordisk Musik,50.000,Ung Nordisk Musik-festival 2021,Klassisk musik
346,2021,Galleri Image,40.000,Photobook Week Aarhus 2021,Samtidskunst
347,2021,Musikfest Schackenborg,75.000,Musikfest Schackenborg,Klassisk musik
348,2021,Frederiksbergmuseerne,1.500.000,"Chiharu Shiota/Taryn Simon/Kimsooja. 3-årigt udstillingsprogram i Cisternerne, 2022-24",Samtidskunst
349,2021,Kunsthal Aarhus,2.000.000,"Kunsthal Aarhus Forum – en ny platform for æstetiske eksperimenter, formidling og diskussion af billedkunstnerisk forskning",Samtidskunst
350,2021,Institut Funder bakke,40.000,Institut Funder Bakke årsprogram 2021,Samtidskunst
351,2021,Snow Mask Composers Group,30.000,Snow Mask koncertrække 2021,Klassisk musik
352,2021,Scenatet,60.000,Interludium på søerne og Backyard Opera,Klassisk musik
353,2021,Fonden Musikkens Hus i Nordjylland,500.000,"Aalborg Operafestival v/Musikkens Hus, Aalborg",Klassisk musik
354,2021,Sisters Hope,50.000,Sisters Hope Home: Inhabitation,Samtidskunst
