,Year,Receiver,Grant size (DKK),Description,Project Category
625,2019,Aalborg Handelsskole,200.000,Internationalisering på erhvervsuddannelserne på Aalborg Handelsskole,Nordjylland
626,2019,Foreningen Camerata Øresund,40.000,Camerata Øresunds koncertprojekter efterår 2019,Klassisk musik
627,2019,KFP11 (Markus von Platen),400.000,Ørestad Kunsthal,Samtidskunst
628,2019,Vrå Koncerterne,50.000,Vrå koncerterne – genopstart af koncertforening med koncerter af høj professionel kvalitet,Nordjylland
629,2019,Lise-Lotte Terp/Arctic Consensus,100.000,Mennesket og klassisk musik – udvikler sig sammen i Grønland,Klassisk musik
630,2019,Vermilion Sands,100.000,You Don’t Know – Radical Imaginaries,Samtidskunst
631,2019,"Stig Løcke, Odsherred Kommune",5.000.000,Land-art-kunstværket Den heliotropiske by af Ólafur Elíasson i UNESCO Global Geopark Odsherred,Samtidskunst
632,2019,HEART,3.000.000,HEARTfuture,Samtidskunst
633,2019,Lydenskab,50.000,Vores Historie Genfortalt: En Symfoni Til Et Sted,Klassisk musik
634,2019,Jeanette Hillig / LIST,30.000,Opstart og drift af udstillingsstedet LIST,Samtidskunst
635,2019,Hobro Musikforening,20.000,Hobro Musikforenings koncertserie 2019/20,Nordjylland
636,2019,Den Danske Strygerkonkurrence,25.000,Den Danske Strygerkonkurrence,Klassisk musik
637,2019,AALBORG SLOTSTEATER (tidl. TeaterNord),125.000,2020 ’TOBAKKEN’ – Historien om C.W. Obels Tobaksfabrik.,Nordjylland
638,2019,Holbæk Art,200.000,Holbæk Art 2020,Samtidskunst
639,2019,M100 udstillingssted,100.000,Udstillingsprogram på M100 2020,Samtidskunst
640,2019,Musikforeningen UTZON,50.000,Musikforeningen UTZONs koncerter i 2020,Klassisk musik
641,2019,Kammermusikforeningen af 1887,50.000,Kammermusik i Christianskirken,Klassisk musik
642,2019,Noa Johannes Gudiksen Ehde,10.000,Deltagelse i Italy Percussive Art Society – Days of Percussion 2019,Klassisk musik
643,2019,NJORD New Nordic Music Biennale,50.000,NJORD New Nordic Music Biennale 2020,Klassisk musik
644,2019,Faaborg Museum,100.000,"Kirsten Justesen – Svanesø, sang og sokkel",Samtidskunst
645,2019,KFUKs Sociale Arbejde / Reden Aalborg,3.045.055,Ny boligsocial indsats for hjemløse eller voldsudsatte unge kvinder i Aalborg,Nordjylland
646,2019,Thisted Kirkes Drenge og Mandskor,50.000,Englandsturné 2019,Nordjylland
647,2019,Trio Amerise,40.000,Trio Amerise | Sæson 2019/20 i Østerbro Koncertforening,Klassisk musik
648,2019,Anders Visti,30.000,Perpetual Interpreter,Samtidskunst
649,2019,Københavns Byret,100.000,Portræt af Søren Axelsen,Samtidskunst
650,2019,KMF 336 – klassisk musikfestival,100.000,KMF 336 – 336 timers (14 dage) klassisk musikfestival 2020,Klassisk musik
651,2019,Aalborg Kammermusikforening,25.000,Aalborg Kammermusikforening sæson 2019/2020,Klassisk musik
652,2019,Line Wille / Spar Nord Bank A/S,85.000,Keep Nordjylland Special,Nordjylland
653,2019,Nordkraft Big Band,50.000,"ET JUBILÆUM, DER SAMARBEJDER OG PROFILERER NORDJYLLAND",Nordjylland
654,2019,Musik & Ungdom,25.000,Orkesterfestivalen 2020,Klassisk musik
655,2019,Aalborg Kongres & Kultur Center,86.000,Støtte til kultur i AKKC,Nordjylland
656,2019,Fanø Kunstmuseum,30.000,Vadehavet og andre landskaber,Samtidskunst
657,2019,Kunstnersammenslutningen Corner,50.000,Kunstnersammenslutningen Corners udstilling på Sophienholm i 2020,Samtidskunst
658,2019,Aalborg Kloster,5.000.000,Aalborg Kloster – en bæredygtig fremtid.,Nordjylland
659,2019,Natalia Gutman,22.500,Kunst-event Børsen (arbejdstitel),Samtidskunst
660,2019,Kunstbygningen i Vraa,175.000,JCE BIENNALEN 2019-21,Samtidskunst
661,2019,Primer,100.000,Primer: Kunstnersamarbejder 2020,Samtidskunst
662,2019,Christian IV’s Vokalensemble,30.000,Koncerter med Christian IV’s Vokalensemble i sæsonen 2019/2020,Klassisk musik
663,2019,KLANG-Copenhagen Avantgarde Music Festival,200.000,KLANG-Festoval 2020-2022,Klassisk musik
664,2019,Tivoli-Garden,1.000.000,Tivoli-Garden 2020,Klassisk musik
665,2019,Nordic Masterclass,75.000,Nordic Masterclass 2020,Klassisk musik
666,2019,KUNSTHAL 44 MØEN,450.000,SMEDJEN -Projektrum for unge kunstnere,Samtidskunst
667,2019,Kunstnernes Påskeudstilling,25.000,KP20 & SPRING20,Samtidskunst
668,2019,Thy Masterclass,65.000,Thy Kammermusikfestival 2020,Klassisk musik
669,2019,Copenhagen Summer Festival,25.000,Copenhagen Summer Festival 2020,Klassisk musik
670,2019,Nivaagaards Malerisamling,2.250.000,Danh Vo,Samtidskunst
671,2019,Den selvejende institution Ambulancedagene i Hobro,20.000,Ambufesten 100 års jubilæum,Nordjylland
672,2019,Copenhagen Photo Festival,1.600.000,Copenhagen Photo Festival 2020-2023,Samtidskunst
673,2019,Frelsens Hær,50.000,Julehjælp Aalborg Kommune,Nordjylland
674,2019,Louisiana Museum of Modern Art,6.000.000,Tre temaudstillinger: MOR / Kreativitet/ A.I. Kunstig intelligens,Samtidskunst
675,2019,Aalborg Events,100.000,Frihedsfest 2020,Nordjylland
676,2019,Musik & Ungdom,30.000,Musikskoledagei Tivoli 2020,Klassisk musik
677,2019,Aarhus International Piano Competition,75.000,Aarhus International Piano Competition 2021,Klassisk musik
678,2019,Københavns Drengekor,500.000,Københavns Drengekors koncertaktiviteter 2020-2022,Klassisk musik
679,2019,Aalborg Universitet,950.000,Det Obelske Familiefonds støtte til Aalborg Universitets udlandsophold,Nordjylland
680,2019,Herning Opera Festival,1.800.000,Udvikling af Herning Kirkes Drengekor til provinsens professionelle drenge- mandskor,Klassisk musik
681,2019,Lisbeth Eugenie Christensen,45.000,NATURE – Home and Workplace / Nuuk Kunstmuseum (GL) 2020,Samtidskunst
682,2019,Professionshøjskolen UCN,500.000,"Studieophold, praktikophold og kortere ophold i udlandet for studerende på Professionshøjskolen UCN",Nordjylland
683,2019,Aalborg Universitet,150.000,Legater til korte grupperejser til udlandet,Nordjylland
684,2019,Musikaktionærerne,150.000,Medlemskab af Musikaktionærerne,Nordjylland
685,2019,Initiativgruppen til oprettelsen af ”Fodboldspilleren Hennings Jensens Plads og skulptur i Nørresundby” tilknyttet Nørresundby Forenede Boldklubbers Venner,175.000,Fodboldspilleren Henning Jensens Plads og skulptur i Nørresundby,Nordjylland
686,2019,Skovsgård Hotel,1.500.000,Styrket indsats for social inklusion med Skovsgård Hotel som drivkraft – et socialt fyrtårn i Nordjylland,Nordjylland
687,2019,Kirkens Korshær Aalborg,35.000,Julehjælp til udsatte familier og socialt udsatte,Nordjylland
